"field_name","transplant","treatment","height"
"DC","S","H1","20"
"DC","S","H1","40"
"DC","S","H1","60"
"DC","S","P1","20"
"DC","S","P1","40"
"DC","S","P1","60"
"FN","H","H1","20"
"FN","H","V1","20"
"FN","H","V1","40"
"FN","H","V1","60"
"FN","S","H1","20"
"FN","S","H1","40"
"FN","S","H1","60"
"FN","S","P1","20"
"FN","S","P1","40"
"FN","S","P1","60"
"MC","S","H1","20"
"MC","S","H1","40"
"MC","S","H1","60"
"MC","S","P1","20"
"MC","S","P1","40"
"MC","S","P1","60"
"SC","H","H1","20"
"SC","H","H1","40"
"SC","H","H1","60"
"SC","H","P1","20"
"SC","H","P1","40"
"SC","H","P1","60"
"SC","H","V1","20"
"SC","H","V1","40"
"SC","H","V1","60"
"SC","S","H1","20"
"SC","S","H1","40"
"SC","S","H1","60"
"SC","S","P1","20"
"SC","S","P1","40"
"SC","S","P1","60"
"UP","S","H1","20"
"UP","S","H1","40"
"UP","S","H1","60"
"UP","S","P1","20"
"UP","S","P1","40"
"YF","H","H1","20"
"YF","H","H1","40"
"YF","H","H1","60"
"YF","H","P1","20"
"YF","H","P1","40"
"YF","H","P1","60"
"YF","H","V1","20"
"YF","H","V1","40"
"YF","H","V1","60"
