Site,Core_Number,Materials_volume_mL_start,Materials_volume_mL_end,SoilTray_InOven,SoilTray_OutOven,Weight_SoilTray,Weight_Tray
DC,1,65.5,73.5,Oct 28 2021 3:50 PM,Nov 4 2021 7:31 PM,245.2,13.5
DC,2,75.5,83,Oct 28 2021 3:50 PM,Nov 4 2021 7:25 PM,283.9,13.4
DC,3,76,87,Oct 28 2021 5:45 PM,Nov 4 2021 7:20 PM,280.1,14.3
DC,4,81,83,Oct 28 2021 5:45 PM,Nov 4 2021 7:34 PM,288.4,14.3
DC,5,78,87.5,Oct 28 2021 3:50 PM,Nov 4 2021 7:27 PM,289.3,19.3
DC,6,77,87,Oct 28 2021 5:45 PM,Nov 9 2021 3:21 PM,272.8,12.5
DC,7,45,61,Oct 28 2021 3:50 PM,Nov 2 2021 6:05 PM,297.5,19.2
DC,8,66,71.5,Oct 28 2021 3:50 PM,Nov 2 2021 5:30 PM,305.1,16.8
DC,9,69,76.5,Oct 28 2021 5:45 PM,Nov 2 2021 6:20 PM,277.5,15.3
DC,10,80.5,94.5,Oct 29 2021 4:30 PM,Nov 9 2021 4:21 PM,287.7,16.4
YF,1,68,94.5,Nov 4 2021 4:05 PM,Nov 9 2021 3:47 PM,274.8,15.5
YF,2,71.5,86.5,Nov 4 2021 4:20 PM,Nov 9 2021 3:57 PM,240,15.8
YF,3,55,78,Nov 4 2021 4:55 PM,Nov 9 2021 3:57 PM,335.7,17.8
YF,4,50,141,Nov 4 2021 5:40 PM,Nov 9 2021 3:57 PM,286.9,18.7
YF,5,52.5,86.5,Nov 4 2021 6:05 PM,Nov 9 2021 4:08 PM,285.4,17.1
YF,6,59.5,86,Nov 4 2021 6:25 PM,Nov 9 2021 4:08 PM,272.1,19
YF,7,69.5,97.5,Nov 11 2021 5:10 PM,Nov 17 2021 3:50 PM,288.6,18.6
YF,8,64,95,Nov 11 2021 5:20 PM,Nov 17 2021 3:50 PM,275.9,18
YF,9,68,101,Nov 11 2021 5:31 PM,Nov 17 2021 3:50 PM,267.2,17.5
YF,10,69.5,102,Nov 17 2021 5:50 PM,Nov 18 2021 6:10 PM,226.3,19.7
SC,1,78.5,109,Nov 17 2021 6:00 PM,Nov 18 2021 6:10 PM,245,16.7
SC,2,150,197,Nov 17 2021 6:15 PM,Nov 18 2021 6:20 PM,263.5,17.4
SC,3,150,180,Nov 18 2021 10:30 AM,Nov 19 2021 1:40 PM,229.4,15.8
SC,4,150,187,Nov 18 2021 10:40 AM,Nov 19 2021 1:40 PM,222,13.1
SC,5,73.5,100,12/2/21 14:40,12/3/21 15:15,281.7,17.4
SC,6,67,91,Nov 18 2021 10:50 AM,Nov 19 2021 1:40 PM,244,16.2
SC,7,150,217,12/2/21 14:40,12/3/21 15:15,181.8,18.2
SC,8,63.5,91.5,12/2/21 14:40,12/4/21 19:15,258.6,19.8
SC,9,63.5,103,12/2/21 14:45,12/4/21 19:15,255.6,18.1
SC,10,83,94,12/2/21 14:45,12/4/21 19:15,233.1,18.7
FN,1,100,172,Dec 2 2021 2:30 PM,12/4/21 19:15,194.4,16
FN,2,100,188,Dec 2 2021 2:30 PM,12/4/21 19:15,226.7,16.8
FN,3,65,95.5,Dec 2 2021 2:30 PM,12/4/21 19:15,179.8,14.8
FN,4,102,167,Dec 2 2021 2:30 PM,12/4/21 19:15,240.4,18.9
FN,5,69,96.5,Dec 2 2021 3:15 PM,12/4/21 19:15,235,14.4
FN,6,55,97.5,Dec 2 2021 3:25 PM,12/4/21 19:15,306,16.1
FN,7,72,89,Dec 2 2021 3:35 PM,12/4/21 19:15,251.5,14.3
FN,8,158,223,Dec 2 2021 3:45 PM,12/4/21 19:25,228.5,14.3
FN,9,147,207,Dec 2 2021 3:55 PM,12/4/21 19:25,196.8,13.7
FN,10,53,89,12/2/21 16:03,12/4/21 19:25,192.4,13
UP,1,79,87,12/2/21 16:15,12/4/21 19:25,191.4,12.5
UP,2,160,191,12/2/21 16:25,12/4/21 19:25,231.5,12.9
UP,3,70.5,77.5,12/2/21 17:15,12/4/21 19:25,289,14
UP,4,66,83.5,12/2/21 17:25,12/4/21 19:25,281.5,14.3
UP,5,72.5,92,12/3/21 14:10,12/4/21 19:25,309.5,16.8
UP,6,135,165,12/3/21 14:45,12/4/21 19:25,273.3,13.1
UP,7,184,217,12/3/21 14:45,12/4/21 19:25,308.1,14.4
UP,8,70,90.5,12/3/21 15:10,12/4/21 19:25,316.7,13.5
UP,9,95,133,12/3/21 15:30,12/4/21 19:25,267.8,17.4
UP,10,30.5,74,12/3/21 16:00,12/4/21 19:25,288.6,17.9
