CageID,Rep,Set_Date,Set_Weight,Collection_Date,Collection_Weight,Notes
DCH_H1,1,7/7/23,2,9/18/23,1.247,
DCH_H1,2,7/7/23,2,9/18/23,1.251,
DCH_H2,1,7/7/23,2.068,9/18/23,1.772,
DCH_H2,2,7/7/23,2.03,9/18/23,1.953,
DCH_H3,1,7/7/23,2.042,9/18/23,2.042,
DCH_H3,2,7/7/23,2.065,9/18/23,2.06,
DCH_H4,1,7/7/23,2.031,9/18/23,2.03,
DCH_H4,2,7/7/23,2.026,9/18/23,2.026,
DCH_H5,1,7/7/23,2.037,9/18/23,2.035,
DCH_H5,2,7/7/23,2.01,9/18/23,2.009,
DCH_H6,1,7/7/23,2.046,9/18/23,2.046,
DCH_H6,2,7/7/23,2.03,9/18/23,2.029,
DCH_H7,1,7/7/23,2.071,9/18/23,2.014,
DCH_H7,2,7/7/23,1.996,9/18/23,1.996,
DCH_H8,1,7/7/23,2.022,9/18/23,1.708,
DCH_H8,2,7/7/23,2,9/18/23,1.27,
DCH_V1,1,7/7/23,2,9/18/23,1.157,
DCH_V1,2,7/7/23,2,9/18/23,1.247,
DCH_V2,1,7/7/23,2.007,9/18/23,1.996,
DCH_V2,2,7/7/23,2.023,9/18/23,2.02,
DCH_V3,1,7/7/23,2,9/18/23,1.245,
DCH_V3,2,7/7/23,2,9/18/23,1.223,
DCH_V4,1,7/7/23,2,9/18/23,1.232,
DCH_V4,2,7/7/23,2,9/18/23,1.233,
DCH_V5,1,NA,NA,NA,NA,Litter bag not placed
DCH_V5,2,NA,NA,NA,NA,Litter bag not placed
DCH_V6,1,NA,NA,NA,NA,Litter bag not placed
DCH_V6,2,NA,NA,NA,NA,Litter bag not placed
DCH_V7,1,7/7/23,2,9/18/23,1.274,
DCH_V7,2,7/7/23,2.052,9/18/23,2.05,
DCH_V8,1,7/7/23,2,9/18/23,1.244,
DCH_V8,2,7/7/23,2,9/18/23,1.221,
DCN_H1,1,7/5/23,2.016,9/18/23,1.979,
DCN_H1,2,7/5/23,1.991,9/18/23,1.912,
DCN_H2,1,7/5/23,2,9/18/23,1.851,
DCN_H2,2,7/5/23,2.024,9/18/23,1.916,
DCN_H3,1,7/5/23,2,9/18/23,1.252,
DCN_H3,2,7/5/23,2,9/18/23,1.271,
DCN_H4,1,7/5/23,2.054,9/18/23,2.05,
DCN_H4,2,7/5/23,2.047,9/18/23,2.043,
DCN_H5,1,7/5/23,2,9/18/23,1.242,
DCN_H5,2,7/5/23,2.027,9/18/23,2.026,
DCN_H6,1,7/5/23,2,9/18/23,1.269,
DCN_H6,2,7/5/23,2.078,9/18/23,2.072,
DCN_H7,1,7/5/23,2.025,9/18/23,2.016,
