Year,Processing.ID,CageID,Replicate,Population,Site,TransplantTreatment,CageTreatment,SampleLevel,SampleType,Weight-mg,PercentN,PercentC,RatioCN,Note
2021,DCH_H1,DCH_H1,1,DC,DC,Home,Herbivore,Cage,SOIL,10.305,0.3,3.4,11.2,
2023,DCH_H1 SOIL,DCH_H1,1,DC,DC,Home,Herbivore,Cage,SOIL,10.061,0.3,4.5,12,
2021,L_DCH_H1,DCH_H1,1,DC,DC,Home,Herbivore,Cage,LITTER,2.061,1.2,43.1,33.6,
2023,DCH_H1 POPRC (Plant),DCH_H1,1,DC,DC,Home,Herbivore,Cage,POPRC,2.802,1.6,43.7,26,
2021,M_DCH_H1,DCH_H1,1,DC,DC,Home,Herbivore,Cage,MISC,1.87,2.2,40.7,17.7,
2021,P_DCH_H1,DCH_H1,1,DC,DC,Home,Herbivore,Cage,POPRC,1.735,2.4,42.7,17.5,
2023,DCH_H1 MISC (Plant),DCH_H1,1,DC,DC,Home,Herbivore,Cage,MISC,3.094,2.4,46,18.4,
2023,DCH_H1 LITTER (Plant),DCH_H1,1,DC,DC,Home,Herbivore,Cage,LITTER,2.926,2.4,49,20,
2023,DCH_H1 SORU (Plant),DCH_H1,1,DC,DC,Home,Herbivore,Cage,SORU,2.984,2.7,45.5,16.7,
2021,S_DCH_H1,DCH_H1,1,DC,DC,Home,Herbivore,Cage,SORU,1.922,3,47.3,15.7,
2023,DCH_H2 SOIL,DCH_H2,2,DC,DC,Home,Herbivore,Cage,SOIL,10.053,0.2,2.4,12.1,
2021,DCH_H2,DCH_H2,2,DC,DC,Home,Herbivore,Cage,SOIL,10.978,0.2,3,12.9,
2021,L_DCH_H2,DCH_H2,2,DC,DC,Home,Herbivore,Cage,LITTER,1.721,1.1,44,36.7,
2023,DCH_H2 LITTER (Plant),DCH_H2,2,DC,DC,Home,Herbivore,Cage,LITTER,3.076,1.5,45.1,29.5,
2021,S_DCH_H2,DCH_H2,2,DC,DC,Home,Herbivore,Cage,SORU,1.528,1.6,47.6,29,
2023,DCH_H2 POPRC (Plant),DCH_H2,2,DC,DC,Home,Herbivore,Cage,POPRC,2.939,1.9,43.4,22.7,
2021,M_DCH_H2,DCH_H2,2,DC,DC,Home,Herbivore,Cage,MISC,2.083,2.3,46,19.3,
2023,DCH_H2 SORU (Plant),DCH_H2,2,DC,DC,Home,Herbivore,Cage,SORU,2.831,2.4,46.7,19.1,
2023,DCH_H2 MISC (Plant),DCH_H2,2,DC,DC,Home,Herbivore,Cage,MISC,2.987,2.5,45.2,17.7,
2021,P_DCH_H2,DCH_H2,2,DC,DC,Home,Herbivore,Cage,POPRC,1.814,2.8,44.4,15.4,
2023,DCH_H3 SOIL,DCH_H3,3,DC,DC,Home,Herbivore,Cage,SOIL,10.065,0.2,2.6,12.1,
2021,DCH_H3,DCH_H3,3,DC,DC,Home,Herbivore,Cage,SOIL,10.367,0.2,3.3,12.7,
2021,L_DCH_H3,DCH_H3,3,DC,DC,Home,Herbivore,Cage,LITTER,1.972,1,45.2,42.8,
2023,DCH_H3 LITTER (Plant),DCH_H3,3,DC,DC,Home,Herbivore,Cage,LITTER,2.871,1.2,47.1,36.5,
2021,M_DCH_H3,DCH_H3,3,DC,DC,Home,Herbivore,Cage,MISC,1.507,1.9,42.2,21.5,
2023,DCH_H3 POPRC (Plant),DCH_H3,3,DC,DC,Home,Herbivore,Cage,POPRC,3.041,1.9,45,23.2,
2023,DCH_H3 MISC (Plant),DCH_H3,3,DC,DC,Home,Herbivore,Cage,MISC,2.976,2,46.7,22.8,
2021,P_DCH_H3,DCH_H3,3,DC,DC,Home,Herbivore,Cage,POPRC,1.516,2.1,44.2,20.9,
2023,DCH_H3 SORU (Plant),DCH_H3,3,DC,DC,Home,Herbivore,Cage,SORU,2.87,2.6,46.8,17.6,
2021,S_DCH_H3,DCH_H3,3,DC,DC,Home,Herbivore,Cage,SORU,1.882,2.7,46.6,16.6,
2021,DCH_H4,DCH_H4,4,DC,DC,Home,Herbivore,Cage,SOIL,10.36,0.2,2.9,11.5,
2023,DCH_H4 SOIL,DCH_H4,4,DC,DC,Home,Herbivore,Cage,SOIL,10.02,0.2,3.1,12.3,
2021,L_DCH_H4,DCH_H4,4,DC,DC,Home,Herbivore,Cage,LITTER,1.693,1.5,43.2,28.7,
2023,DCH_H4 POPRC (Plant),DCH_H4,4,DC,DC,Home,Herbivore,Cage,POPRC,3.011,1.8,42.8,22.9,
2021,P_DCH_H4,DCH_H4,4,DC,DC,Home,Herbivore,Cage,POPRC,1.56,1.9,44.5,23.4,
2021,M_DCH_H4,DCH_H4,4,DC,DC,Home,Herbivore,Cage,MISC,1.539,2.2,45.6,20.5,
2023,DCH_H4 SORU (Plant),DCH_H4,4,DC,DC,Home,Herbivore,Cage,SORU,3.09,2.4,45.1,18.4,
2023,DCH_H4 LITTER (Plant),DCH_H4,4,DC,DC,Home,Herbivore,Cage,LITTER,3.069,2.6,43.2,16.6,
2021,S_DCH_H4,DCH_H4,4,DC,DC,Home,Herbivore,Cage,SORU,1.807,3.5,47.7,13.5,
2023,DCH_H4 MISC (Plant),DCH_H4,4,DC,DC,Home,Herbivore,Cage,MISC,2.036,5.6,42.6,7.5,
2021,DCH_H5,DCH_H5,5,DC,DC,Home,Herbivore,Cage,SOIL,10.459,0.2,3.4,12.2,
