Site,Plant,Rep,Element,Concentration_mg-kg
DC,SORU,1,Al,120
DC,SORU,2,Al,125
DC,SORU,3,Al,124
DC,SORU,1,Fe,101
DC,SORU,2,Fe,92
DC,SORU,3,Fe,97
DC,SORU,1,Ca,11809
DC,SORU,2,Ca,13229
DC,SORU,3,Ca,12201
DC,SORU,1,K,18473
DC,SORU,2,K,21332
DC,SORU,3,K,18652
DC,SORU,1,Mg,2520
DC,SORU,2,Mg,2812
DC,SORU,3,Mg,2676
DC,SORU,1,Na,120
DC,SORU,2,Na,101
DC,SORU,3,Na,95
DC,SORU,1,B,75
DC,SORU,2,B,76
DC,SORU,3,B,73
DC,SORU,1,Mn,388
DC,SORU,2,Mn,403
DC,SORU,3,Mn,401
DC,SORU,1,Zn,108
DC,SORU,2,Zn,126
DC,SORU,3,Zn,125
DC,SORU,1,P,3354
DC,SORU,2,P,3721
DC,SORU,3,P,3511
DC,SORU,1,S,1180
DC,SORU,2,S,948
DC,SORU,3,S,1047
DC,MISC,1,Al,90
DC,MISC,2,Al,99
DC,MISC,3,Al,85
DC,MISC,1,Fe,80
DC,MISC,2,Fe,106
DC,MISC,3,Fe,85
DC,MISC,1,Ca,16149
DC,MISC,2,Ca,19233
DC,MISC,3,Ca,17361
DC,MISC,1,K,20456
DC,MISC,2,K,22808
DC,MISC,3,K,22765
DC,MISC,1,Mg,2306
DC,MISC,2,Mg,3135
DC,MISC,3,Mg,2447
DC,MISC,1,Na,68
DC,MISC,2,Na,72
DC,MISC,3,Na,60
DC,MISC,1,B,30
DC,MISC,2,B,40
DC,MISC,3,B,31
DC,MISC,1,Mn,183
DC,MISC,2,Mn,255
DC,MISC,3,Mn,195
DC,MISC,1,Zn,98
DC,MISC,2,Zn,106
DC,MISC,3,Zn,99
DC,MISC,1,P,2403
DC,MISC,2,P,3110
DC,MISC,3,P,2410
DC,MISC,1,S,1378
DC,MISC,2,S,1697
DC,MISC,3,S,1354
DC,POPRC,1,Al,64
DC,POPRC,2,Al,77
DC,POPRC,3,Al,76
DC,POPRC,1,Fe,103
DC,POPRC,2,Fe,151
DC,POPRC,3,Fe,83
