Digestion,Site,Rep,Element,Concentration_mg-kg
Total,DC,1,Al,56814
Total,DC,2,Al,56588
Total,DC,3,Al,57901
Total,DC,1,Fe,26686
Total,DC,2,Fe,26388
Total,DC,3,Fe,27324
Total,DC,1,Ca,11032
Total,DC,2,Ca,10885
Total,DC,3,Ca,11319
Total,DC,1,K,13830
Total,DC,2,K,13257
Total,DC,3,K,13744
Total,DC,1,Mg,8103
Total,DC,2,Mg,7982
Total,DC,3,Mg,8128
Total,DC,1,Na,12780
Total,DC,2,Na,13212
Total,DC,3,Na,13246
Total,DC,1,B,47
Total,DC,2,B,65
Total,DC,3,B,58
Total,DC,1,Mn,653
Total,DC,2,Mn,677
Total,DC,3,Mn,692
Total,DC,1,Zn,82
Total,DC,2,Zn,77
Total,DC,3,Zn,89
Total,DC,1,P,962
Total,DC,2,P,939
Total,DC,3,P,1002
Total,DC,1,S,922
Total,DC,2,S,834
Total,DC,3,S,839
Available,DC,1,Al,7
Available,DC,2,Al,9
Available,DC,3,Al,8
Available,DC,1,Fe,1
Available,DC,2,Fe,3
Available,DC,3,Fe,2
Available,DC,1,Ca,327
Available,DC,2,Ca,312
Available,DC,3,Ca,296
Available,DC,1,K,73
Available,DC,2,K,78
Available,DC,3,K,73
Available,DC,1,Mg,49
Available,DC,2,Mg,45
Available,DC,3,Mg,40
Available,DC,1,Na,18
Available,DC,2,Na,18
Available,DC,3,Na,18
Available,DC,1,B,0
Available,DC,2,B,0
Available,DC,3,B,0
Available,DC,1,Mn,22
Available,DC,2,Mn,21
Available,DC,3,Mn,20
Available,DC,1,Zn,0.7
Available,DC,2,Zn,1
Available,DC,3,Zn,0.9
Available,DC,1,P,1.5
Available,DC,2,P,2
Available,DC,3,P,1.6
Available,DC,1,S,17
Available,DC,2,S,20
Available,DC,3,S,18
Total,FN,1,Al,65365
Total,FN,2,Al,64902
Total,FN,3,Al,62917
Total,FN,1,Fe,32555
Total,FN,2,Fe,33941
Total,FN,3,Fe,32362
Total,FN,1,Ca,16138
Total,FN,2,Ca,16842
Total,FN,3,Ca,16709
Total,FN,1,K,14236
Total,FN,2,K,14215
Total,FN,3,K,14273
Total,FN,1,Mg,14133
Total,FN,2,Mg,15201
Total,FN,3,Mg,13587
Total,FN,1,Na,14703
Total,FN,2,Na,13791
Total,FN,3,Na,14427
Total,FN,1,B,35
Total,FN,2,B,33
Total,FN,3,B,35
Total,FN,1,Mn,908
Total,FN,2,Mn,962
Total,FN,3,Mn,896
Total,FN,1,Zn,88
Total,FN,2,Zn,88
Total,FN,3,Zn,87
Total,FN,1,P,1273
Total,FN,2,P,1324
Total,FN,3,P,1234
Total,FN,1,S,789
Total,FN,2,S,760
Total,FN,3,S,870
Available,FN,1,Al,12
Available,FN,2,Al,10
Available,FN,3,Al,11
Available,FN,1,Fe,2
Available,FN,2,Fe,1
Available,FN,3,Fe,2
Available,FN,1,Ca,284
Available,FN,2,Ca,304
Available,FN,3,Ca,330
Available,FN,1,K,64
Available,FN,2,K,62
Available,FN,3,K,67
Available,FN,1,Mg,70
Available,FN,2,Mg,73
Available,FN,3,Mg,81
Available,FN,1,Na,23
Available,FN,2,Na,21
Available,FN,3,Na,21
Available,FN,1,B,0
Available,FN,2,B,0
Available,FN,3,B,0
Available,FN,1,Mn,21
Available,FN,2,Mn,22
Available,FN,3,Mn,24
Available,FN,1,Zn,1.7
Available,FN,2,Zn,1.5
Available,FN,3,Zn,1.5
Available,FN,1,P,2.9
Available,FN,2,P,2.3
Available,FN,3,P,2.8
Available,FN,1,S,20
Available,FN,2,S,18
Available,FN,3,S,18
Total,MC,1,Al,66886
Total,MC,2,Al,67862
Total,MC,3,Al,67787
Total,MC,1,Fe,33049
Total,MC,2,Fe,31016
Total,MC,3,Fe,31906
Total,MC,1,Ca,3370
Total,MC,2,Ca,3556
Total,MC,3,Ca,3460
Total,MC,1,K,24750
Total,MC,2,K,24910
Total,MC,3,K,24930
Total,MC,1,Mg,7711
Total,MC,2,Mg,7910
Total,MC,3,Mg,7884
Total,MC,1,Na,8750
Total,MC,2,Na,8838
Total,MC,3,Na,8947
Total,MC,1,B,34
Total,MC,2,B,41
Total,MC,3,B,36
Total,MC,1,Mn,456
Total,MC,2,Mn,414
Total,MC,3,Mn,408
Total,MC,1,Zn,71
Total,MC,2,Zn,72
Total,MC,3,Zn,73
Total,MC,1,P,514
Total,MC,2,P,496
Total,MC,3,P,497
Total,MC,1,S,666
Total,MC,2,S,645
Total,MC,3,S,666
Available,MC,1,Al,13
Available,MC,2,Al,12
Available,MC,3,Al,14
Available,MC,1,Fe,2
Available,MC,2,Fe,2
Available,MC,3,Fe,2
Available,MC,1,Ca,498
Available,MC,2,Ca,428
Available,MC,3,Ca,485
Available,MC,1,K,64
Available,MC,2,K,57
Available,MC,3,K,63
Available,MC,1,Mg,147
Available,MC,2,Mg,131
Available,MC,3,Mg,143
Available,MC,1,Na,22
Available,MC,2,Na,23
Available,MC,3,Na,21
Available,MC,1,B,0
Available,MC,2,B,0
Available,MC,3,B,0
Available,MC,1,Mn,29
Available,MC,2,Mn,23
