Cage_ID,Rep,Tray_weight,Soil+tray_weight,Soil_weight,In-oven,Out-oven,Dry-soil+tray_weight,Dry_weight,Water_lost,Moist (g H2O g soil-1)
DCH_H1,1,1.1607,3.8643,2.7036,10/14/24 11:00,10/18/24 16:30,3.2054,2.0447,0.6589,0.3222
DCH_H1,2,1.296,3.8275,2.5315,10/14/24 11:00,10/18/24 16:30,3.2093,1.9133,0.6182,0.3231
DCH_H2,1,1.2428,3.6933,2.4505,10/13/24 15:15,10/14/24 15:45,3.1852,1.9424,0.5081,0.2616
DCH_H2,2,1.322,4.4575,3.1355,10/13/24 15:15,10/14/24 15:45,3.7976,2.4756,0.6599,0.2666
DCH_H3,1,1.3089,4.1454,2.8365,10/12/24 15:40,10/13/24 15:50,3.5209,2.212,0.6245,0.2823
DCH_H3,2,1.3018,4.1383,2.8365,10/12/24 15:40,10/13/24 15:50,3.5418,2.24,0.5965,0.2663
DCH_H4,1,1.2844,4.5579,3.2735,10/14/24 11:00,10/18/24 16:30,3.8551,2.5707,0.7028,0.2734
DCH_H4,2,2.5603,6.1008,3.5405,10/14/24 11:00,10/18/24 16:30,5.3635,2.8032,0.7373,0.263
DCH_H5,1,1.3248,4.1532,2.8284,10/12/24 15:40,10/13/24 15:50,3.4961,2.1713,0.6571,0.3026
DCH_H5,2,1.333,4.1614,2.8284,10/12/24 15:40,10/13/24 15:50,3.4089,2.0759,0.7525,0.3625
DCH_H6,1,1.2725,5.3947,4.1222,10/13/24 15:15,10/14/24 15:45,4.5365,3.264,0.8582,0.2629
DCH_H6,2,1.3111,4.772,3.4609,10/13/24 15:15,10/14/24 15:45,4.055,2.7439,0.717,0.2613
DCH_H7,1,2.58,4.8118,2.2318,10/13/24 15:15,10/14/24 15:45,4.331,1.751,0.4808,0.2746
DCH_H7,2,1.2969,3.6894,2.3925,10/13/24 15:15,10/14/24 15:45,3.1853,1.8884,0.5041,0.2669
DCH_H8,1,1.273,3.3113,2.0383,11/1/24 11:30,11/4/24 11:35,2.7953,1.5223,0.516,0.339
DCH_H8,2,1.2827,3.916,2.6333,11/1/24 11:30,11/4/24 11:35,3.2521,1.9694,0.6639,0.3371
DCH_V1,1,1.2341,3.9142,2.6801,10/13/24 15:15,10/14/24 15:45,3.2713,2.0372,0.6429,0.3156
DCH_V1,2,1.2914,3.8375,2.5461,10/13/24 15:15,10/14/24 15:45,3.2196,1.9282,0.6179,0.3205
DCH_V2,1,1.2775,3.4982,2.2207,10/13/24 15:15,10/14/24 15:45,3.0604,1.7829,0.4378,0.2456
DCH_V2,2,1.31,4.602,3.292,10/13/24 15:15,10/14/24 15:45,3.9311,2.6211,0.6709,0.256
DCH_V3,1,1.3049,4.1519,2.847,10/19/24 10:20,10/20/24 14:00,3.5016,2.1967,0.6503,0.296
DCH_V3,2,1.2883,4.5646,3.2763,10/19/24 10:20,10/20/24 14:00,3.8001,2.5118,0.7645,0.3044
DCH_V4,1,1.2546,4.451,3.1964,10/14/24 11:00,10/18/24 16:30,3.7117,2.4571,0.7393,0.3009
DCH_V4,2,1.2717,3.6964,2.4247,10/14/24 11:00,10/18/24 16:30,3.1266,1.8549,0.5698,0.3072
DCH_V5,1,1.2797,3.5488,2.2691,10/19/24 10:20,10/20/24 14:00,3.0726,1.7929,0.4762,0.2656
DCH_V5,2,1.2873,4.5453,3.258,10/19/24 10:20,10/20/24 14:00,3.8542,2.5669,0.6911,0.2692
DCH_V6,1,1.2888,4.2743,2.9855,10/12/24 15:40,10/13/24 15:50,3.5816,2.2928,0.6927,0.3021
DCH_V6,2,1.2697,4.2698,3.0001,10/12/24 15:40,10/13/24 15:45,3.5756,2.3059,0.6942,0.3011
DCH_V7,1,1.2768,3.9605,2.6837,10/12/24 15:40,10/13/24 15:45,3.379,2.1022,0.5815,0.2766
DCH_V7,2,1.293,3.9896,2.6966,10/12/24 15:40,10/13/24 15:45,3.3741,2.0811,0.6155,0.2958
DCH_V8,1,1.2933,4.5406,3.2473,10/19/24 10:20,10/20/24 14:00,3.8528,2.5595,0.6878,0.2687
DCH_V8,2,1.2953,4.6682,3.3729,10/19/24 10:20,10/20/24 14:00,3.975,2.6797,0.6932,0.2587
DCN_H1,1,1.2977,4.2338,2.9361,10/19/24 10:20,10/20/24 14:00,3.5839,2.2862,0.6499,0.2843
DCN_H1,2,1.2888,4.1068,2.818,10/19/24 10:20,10/20/24 14:00,3.4797,2.1909,0.6271,0.2862
DCN_H2,1,1.2602,6.0244,4.7642,10/13/24 15:15,10/14/24 15:45,4.8492,3.589,1.1752,0.3274
DCN_H2,2,1.2639,5.2753,4.0114,10/13/24 15:15,10/14/24 15:45,4.2804,3.0165,0.9949,0.3298
DCN_H3,1,1.2972,5.4494,4.1522,10/19/24 10:20,10/20/24 14:00,4.4558,3.1586,0.9936,0.3146
DCN_H3,2,1.294,3.2187,1.9247,10/19/24 10:20,10/20/24 14:00,2.7762,1.4822,0.4425,0.2985
DCN_H4,1,1.3243,6.8333,5.509,10/14/24 11:00,10/18/24 16:40,5.7259,4.4016,1.1074,0.2516
DCN_H4,2,1.3116,5.0748,3.7632,10/14/24 11:00,10/18/24 16:30,4.3093,2.9977,0.7655,0.2554
