RoundNum_ByDate,Sample_ID,Site,Rep,Crucible_ID,In-oven ,Out-Oven ,"Empty Heated 
Crucible_Weight",In-oven,Out-oven,"SampleStart 
Crucible_Weight",In-Furnace ,Out-Furnace ,In-oven,Out-oven,"SampleEnd
Crucible_Weight",LOI_g,SOM_Percent,Mean_Blank_LOI-g,Adjusted_LOI,Adjusted_SOM_Percent,Comments
1_Nov15,Blank,NA,1,37,11/15/23 10:46,11/15/23 13:25,8.1603,11/15/23 13:57,11/15/23 16:00,8.1603,11/16/23 13:27,11/17/23 8:00,11/17/23 8:26,11/17/23 10:26,8.1602,0.0001,NA,0,0.0001,NA,
2_Nov16,Blank,NA,1,42,11/16/23 8:52,11/16/23 10:52,12.019,11/16/23 11:08,11/16/23 13:08,12.0179,11/16/23 13:27,11/17/23 8:00,11/17/23 8:26,11/17/23 10:26,12.0177,0.0002,NA,0.0003,0.0005,NA,
3_Nov17,Blank,NA,1,119,11/17/23 8:26,11/17/23 10:26,10.096,11/17/23 11:30,11/17/23 13:30,10.0947,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.0944,0.0003,NA,0.00005,0.00035,NA,
1_Nov15,Blank ,NA,2,38,11/15/23 10:46,11/15/23 13:25,10.6211,11/15/23 13:57,11/15/23 16:00,10.6211,11/16/23 13:27,11/17/23 8:00,11/17/23 8:26,11/17/23 10:26,10.6212,-0.0001,NA,0,-0.0001,NA,
10_Dec14,Blank ,NA,1,49,12/14/23 7:30,12/14/23 9:40,9.7615,12/14/23 10:50,12/14/23 13:00,9.759,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,9.7596,-0.0006,NA,-0.0003,-0.0009,NA,
10_Dec14,Blank ,NA,2,15,12/14/23 7:30,12/14/23 9:40,10.5802,12/14/23 10:50,12/14/23 13:00,10.5784,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,10.5784,0,NA,-0.0003,-0.0003,NA,
11_Dec15,Blank ,NA,1,102,12/15/23 5:45,12/15/23 7:45,11.447,12/15/23 8:50,12/15/23 10:50,11.4464,12/15/23 11:30,12/15/23 7:30,12/16/23 7:45,12/16/23 9:50,11.4466,-0.0002,NA,0.0001,-0.0001,NA,
11_Dec15,Blank ,NA,2,123,12/15/23 5:45,12/15/23 7:45,9.2743,12/15/23 8:50,12/15/23 10:50,9.2734,12/15/23 11:30,12/15/23 7:30,12/16/23 7:45,12/16/23 9:50,9.273,0.0004,NA,0.0001,0.0005,NA,
2_Nov16,Blank ,NA,2,47,11/16/23 8:52,11/16/23 10:52,10.6236,11/16/23 11:08,11/16/23 13:08,10.6234,11/16/23 13:27,11/17/23 8:00,11/17/23 8:26,11/17/23 10:26,10.623,0.0004,NA,0.0003,0.0007,NA,
3_Nov17,Blank ,NA,2,118,11/17/23 8:26,11/17/23 10:26,9.4216,11/17/23 11:30,11/17/23 13:30,9.4212,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,9.4214,-0.0002,NA,0.00005,-0.00015,NA,
4_Nov22,Blank ,NA,1,113,11/22/23 8:25,11/22/23 10:30,9.437,11/22/23 12:13,11/22/23 14:13,9.4366,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,9.4361,0.0005,NA,0.00125,0.00175,NA,
4_Nov22,Blank ,NA,2,65,11/22/23 8:25,11/22/23 10:30,11.5693,11/22/23 12:13,11/22/23 14:13,11.5698,11/22/23 15:30,11/23/23 8:00,11/23/23 8:30,11/23/23 10:30,11.5678,0.002,NA,0.00125,0.00325,NA,
5_Nov23,Blank ,NA,1,23,11/23/23 8:30,11/23/23 10:30,9.1832,11/23/23 12:00,11/23/23 14:00,9.1844,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,9.182,0.0024,NA,0.00125,0.00365,NA,
5_Nov23,Blank ,NA,2,2,11/23/23 8:30,11/23/23 10:30,11.5065,11/23/23 12:00,11/23/23 14:00,11.5075,11/23/23 15:00,11/24/23 8:00,11/24/23 8:10,11/24/23 12:00,11.5074,0.0001,NA,0.00125,0.00135,NA,
6_Nov29,Blank ,NA,1,55,11/29/23 8:00,11/29/23 10:00,13.016,11/29/23 11:30,11/29/23 1:30,13.0152,11/29/23 14:30,11/30/23 8:00,11/30/23 8:30,11/30/23 10:30,13.0161,-0.0009,NA,0.00045,-0.00045,NA,
6_Nov29,Blank ,NA,2,77,11/29/23 8:00,11/29/23 10:00,12.2021,11/29/23 11:30,11/29/23 1:30,12.2025,11/29/23 14:30,11/30/23 8:00,11/30/23 8:30,11/30/23 10:30,12.2007,0.0018,NA,0.00045,0.00225,NA,
7_Nov30,Blank ,NA,1,67,30-Nov 830AM,11/30/23 10:30,13.0356,11/30/23 12:00,11/30/23 14:00,13.035,11/30/23 15:30,12/1/23 8:00,12/1/23 8:30,12/1/23 11:00,13.0347,0.0003,NA,-0.00005,0.00025,NA,
7_Nov30,Blank ,NA,2,56,30-Nov 830AM,11/30/23 10:30,10.1787,11/30/23 12:00,11/30/23 14:00,10.1785,11/30/23 15:30,12/1/23 8:00,12/1/23 8:30,12/1/23 11:00,10.1789,-0.0004,NA,-0.00005,-0.00045,NA,
8_Dec1,Blank ,NA,1,81,12/1/23 8:30,12/1/23 11:00,11.6315,12/1/23 11:30,12/1/23 13:30,11.63,12/1/23 14:30,12/2/23 8:00,12/2/23 8:30,12/2/23 11:00,11.6303,-0.0003,NA,-0.0006,-0.0009,NA,
