Sample ID,Day,Batch,N-NO3 (mg per mL),N-NH4 (mg per mL)
Blank,1,A1,0.0479837,-0.4743721
Blank,1,A1,0.061724267,-0.4586284
Blank,1,A1,-0.008035533,-0.4638763
Blank,31,A31,-0.111476,-0.292769
Blank,31,A31,-0.111476,-0.2731285
Blank,1,B1,-0.041858467,-0.2609575
Blank,1,B1,-0.0376306,-0.2714533
Blank,31,B31,-0.129404,-0.29634
Blank,31,B31,-0.124922,-0.310624
Blank,1,C1,-0.041858467,-0.2941942
Blank,1,C1,-0.041858467,-0.3064393
Blank,31,C31,-0.115958,-0.346334
Blank,31,C31,-0.106994,-0.324908
Blank,1,D1,-0.046086333,-0.2906956
Blank,1,D1,-0.0218742,-0.2898551
Blank,31,D31,-0.104006,-0.321337
Blank,31,D31,-0.115958,-0.328479
Blank,1,E1,-0.0007472,-0.258820467
Blank,1,E1,-0.0155361,-0.218658
Blank,31,E31,-0.095498,-0.324043482
Blank,31,E31,-0.0866752,-0.368092867
Blank,1,F1,-0.0007472,-0.2405648
Blank,1,F1,0.0077036,-0.273425
Blank,31,F31,-0.0884656,-0.3988555
Blank,31,F31,-0.0974176,-0.3988555
Blank,1,G1,-0.0366631,-0.2405648
Blank,1,G1,-0.030325,-0.2077046
Blank,31,G31,-0.0866752,-0.397045933
Blank,31,G31,-0.0920464,0.104204033
DCH_H1,1,G1,2.3827213,0.426302067
DCH_H1,31,G31,7.619053,0.074262067
DCH_H2,1,E1,0.4289134,0.327721533
DCH_H2,31,E31,0.7142278,-0.0568092
DCH_H3,1,A1,1.4041417,0.602338733
DCH_H3,31,A31,4.3584411,-0.01164275
DCH_H4,1,G1,0.737233,0.523122233
DCH_H4,31,G31,2.3961724,0.0122689
DCH_H5,1,D1,1.0880024,1.816991733
DCH_H5,31,D31,3.35622975,0.9740486
DCH_H6,1,B1,0.9762924,0.98697885
DCH_H6,31,B31,3.8842086,0.099059333
DCH_H7,1,C1,0.882456,3.3872388
DCH_H7,31,C31,6.9888507,0.21153265
DCH_H8,1,A1,1.5929316,0.4562283
DCH_H8,31,A31,4.22881755,0.612717
DCH_V1,1,C1,1.9146564,0.517841133
DCH_V1,31,C31,4.74731175,0.0654059
DCH_V2,1,G1,1.8051806,2.424318233
DCH_V2,31,G31,6.7928346,-0.0993188
DCH_V3,1,G1,2.7055632,0.442145367
DCH_V3,31,G31,8.1312241,0.1132292
DCH_V4,1,E1,1.8029464,0.394615467
DCH_V4,31,E31,5.60725335,0.9793623
DCH_V5,1,D1,3.2540593,3.93911375
DCH_V5,31,D31,8.6328567,0.7030499
DCH_V6,1,F1,3.0730891,0.36380905
DCH_V6,31,F31,8.3082709,0.02555315
DCH_V7,1,D1,0.8891586,0.6938778
DCH_V7,31,D31,3.0095131,0.8358924
DCH_V8,1,C1,1.1192812,1.7448167
DCH_V8,31,C31,5.15199015,0.0016415
DCN_H1,1,C1,0.018809833,0.1043816
DCN_H1,31,C31,-0.097246967,-0.058409
DCN_H2,1,B1,0.0231367,0.17575745
DCN_H2,31,B31,-0.051121133,-0.113071
DCN_H3,1,D1,0.046934467,0.23391555
DCN_H3,31,D31,-0.0880218,-0.000102867
DCN_H4,1,E1,0.1789039,0.523824867
DCN_H4,31,E31,0.052200733,-0.0720745
DCN_H5,1,G1,0.0555882,0.308816133
DCN_H5,31,G31,-0.0935569,-0.1759323
DCN_H6,1,E1,1.3341773,0.943268133
DCN_H6,31,E31,2.932297767,-0.0638752
DCN_H7,1,F1,2.601949233,2.9012575
DCN_H7,31,F31,4.1906105,0.597535
DCN_H8,1,A1,-0.0028245,0.0938074
DCN_H8,31,A31,-0.1046271,0.0126516
DCS_H1,1,C1,1.11675225,0.137866567
DCS_H1,31,C31,1.94059235,-0.140402
DCS_H2,1,B1,1.38285455,0.2101236
DCS_H2,31,B31,3.2164329,-0.0912062
DCS_H3,1,D1,0.8603854,0.0039267
DCS_H3,31,D31,1.1352353,-0.08574
DCS_H4,1,B1,2.01241365,0.160777333
DCS_H4,31,B31,4.0854436,-0.218750867
DCS_H5,1,G1,0.163759867,0.213648333
DCS_H5,31,G31,1.02730085,0.0427157
DCS_H6,1,F1,5.4620081,0.166064433
DCS_H6,31,F31,6.8142479,-0.0119463
DCS_H7,1,C1,2.62899215,0.1149558
DCS_H7,31,C31,3.854814433,-0.0966724
DCS_H8,1,C1,0.356305433,0.0990945
DCS_H8,31,C31,-0.0382059,-0.1895978
FNH_H1,1,D1,2.27309,0.295893467
FNH_H1,31,D31,7.22992095,0.053624067
FNH_H2,1,B1,1.2752252,0.387049933
FNH_H2,31,B31,3.973267933,0.1691156
FNH_H3,1,B1,3.5685636,0.330292133
FNH_H3,31,B31,9.227346967,0.226861367
FNH_H4,1,E1,2.95036885,7.302901867
FNH_H4,31,E31,8.0799483,5.653264018
FNH_H5,1,C1,6.3849057,3.5353879
FNH_H5,31,C31,8.829504233,0.046173
FNH_H6,1,C1,7.0939149,0.6897582
FNH_H6,31,C31,11.20013593,0.144899633
FNH_H7,1,E1,2.2752783,0.247735333
FNH_H7,31,E31,5.270819233,-0.039514267
FNH_H8,1,E1,1.25662465,0.2614948
FNH_H8,31,E31,3.45771485,-0.086083433
FNH_V1,1,E1,1.427682533,0.3056288
FNH_V1,31,E31,4.7658847,-0.0960506
FNH_V2,1,A1,2.7175524,0.2776864
FNH_V2,31,A31,5.7889277,-0.0047156
FNH_V3,1,B1,3.3849376,0.3178536
FNH_V3,31,B31,9.672479167,-0.081437
FNH_V4,1,C1,5.3809704,0.459312
FNH_V4,31,C31,10.585194,0.1669942
FNH_V5,1,A1,2.836947,0.2567296
FNH_V5,31,A31,5.311507633,0.4647463
FNH_V6,1,E1,2.3103862,0.4313696
