Sample ID,Day,N-NH4 (mg per mL),blank-corrected N-NH4 (mg per mL),N-NO3 (mg per mL),blank-corrected N-NO3 (mg per mL)
DCH_H1,1,2.694674,2.291821683,3.4349074,3.465808158
DCH_H2,1,2.173944,1.771091683,0.839372933,0.870273692
DCH_H3,1,2.109357333,1.706505017,0.385517333,0.416418092
DCH_H4,1,1.52727,1.124417683,0.3083466,0.339247358
DCH_H5,1,0.644854667,0.24200235,0.735459867,0.766360625
DCH_H6,1,1.652406667,1.24955435,0.556668267,0.587569025
DCH_H7,1,0.835385333,0.432533017,0.231175867,0.262076625
DCH_H8,1,1.597508,1.194655683,1.034974,1.065874758
DCH_V1,1,1.025916,0.623063683,1.192371733,1.223272492
DCH_V2,1,2.068990667,1.66613835,0.442058267,0.472959025
DCH_V3,1,0.953256,0.550403683,1.577461333,1.608362092
DCH_V4,1,2.84726,2.444407683,0.8011696,0.832070358
DCH_V5,1,0.707826667,0.30497435,0.943286,0.974186758
DCH_V6,1,0.623864,0.221011683,1.963315,1.994215758
DCH_V7,1,1.299602,0.896749683,0.144072267,0.174973025
DCH_V8,1,1.481252,1.078399683,0.275491733,0.306392492
DCN_H1,1,0.350178,-0.052674317,-0.0033926,0.027508158
DCN_H2,1,1.350464,0.947611683,0.519993067,0.550893825
DCN_H3,1,0.493076,0.090223683,-0.022494267,0.008406492
DCN_H4,1,0.48581,0.082957683,-0.011797333,0.019103425
DCN_H5,1,0.783716,0.380863683,-0.086675867,-0.055775108
DCN_H6,1,0.906430667,0.50357835,0.124206533,0.155107292
DCN_H7,1,0.384086,-0.018766317,-0.034719333,-0.003818575
DCN_H8,1,0.246032,-0.156820317,-0.098900933,-0.068000175
DCS_H1,1,0.2930648,-0.109787517,1.6553045,1.686205258
DCS_H2,1,0.1431696,-0.259682717,3.647479,3.678379758
DCS_H4,1,0.2304712,-0.172381117,1.918847167,1.949747925
DCS_H5,1,0.1777608,-0.225091517,1.59028575,1.621186508
DCS_H6,1,0.2803235,-0.122528817,3.58663765,3.617538408
DCS_H7,1,0.2387072,-0.164145117,4.243917667,4.274818425
DCS_H8,1,0.0550444,-0.347807917,1.825220167,1.856120925
FNH_H1,1,0.846524,0.443671683,6.2638335,6.294734258
FNH_H2,1,0.4528432,0.049990883,1.2183785,1.249279258
FNH_H3,1,0.974182,0.571329683,3.439419,3.470319758
FNH_H4,1,0.3507168,-0.052135517,1.254789,1.285689758
FNH_H5,1,0.434724,0.031871683,1.123017667,1.153918425
FNH_H6,1,0.3589528,-0.043899517,4.985998333,5.016899092
FNH_H7,1,2.5505524,2.147700083,3.614536167,3.645436925
FNH_H8,1,0.5368504,0.133998083,4.616691833,4.647592592
FNH_V1,1,1.5375244,1.134672083,2.636654167,2.667554925
FNH_V2,1,1.1298424,0.726990083,3.300712333,3.331613092
FNH_V3,1,0.3260088,-0.076843517,2.9348735,2.965774258
FNH_V4,1,0.4110593,0.008206983,3.70699,3.737890758
FNH_V5,1,4.1846237,3.781771383,0.7635725,0.794473258
FNH_V6,1,2.4784403,2.075587983,5.7647145,5.795615258
FNH_V7,1,1.8843653,1.481512983,2.54651875,2.577419508
FNH_V8,1,1.2071198,0.804267483,4.229869,4.260769758
FNN_H1,1,0.258184,-0.144668317,-0.01452125,0.016379508
FNN_H2,1,1.0835522,0.680699883,0.07618225,0.107083008
