Sample_ID,Date_Flush,Time_Flush,Date_Irga,Time_Irga,Irga_Intregal,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time,flowrate: .19,extra standards,,,,,Notes
01_1,11/21/2021,12:31,,4:58,270.961,,495.091,494.383,500.817,,4:54,4:58,,,,,,,
02_1,11/21/2021,,,4:59,180.817,,,,,,,,,,,,,,
03_1,11/21/2021,,,5:01,273.611,,,,,,,,,,,,,,
04_1,11/21/2021,,,5:02,226.827,,,,,,,,,,,,,,
05_1,11/21/2021,,,5:03,164.486,,,,,,,,,,,,,,
06_1,11/21/2021,,,5:04,223.188,,,,,,,,,,,,,,
07_1,11/21/2021,,,5:05,209.477,,,,,,,,,,,,,,
08_1,11/21/2021,,,5:06,210.068,,,,,,,,,,,,,,
09_1,11/21/2021,12:34,,5:07,331.781,,,,,,,,,,,,,,
10_1,11/21/2021,,,5:08,346.8,,,,,,,,,,,,,,
11_1,11/21/2021,,,5:09,246.671,,,,,,,,,,,,,,
12_1,11/21/2021,,,5:11,254.247,,,,,,,,,,,,,,
13_1,11/21/2021,,,5:13,284.782,,,,,,,,,,,,,,
14_1,11/21/2021,,,5:14,246.929,,,,,,,,,,,,,,
15_1,11/21/2021,,,5:15,241.306,,,,,,,,,,,,,,
16_1,11/21/2021,,,5:16,257.37,,,,,,,,,,,,,,
17_1,11/21/2021,12:35,,5:22,635.754,,490.402,489.097,490.654,,5:18,5:20,,,,,,,
18_1,11/21/2021,,,5:24,377.002,,,,,,,,,,,,,,
19_1,11/21/2021,,,5:25,223.2,,,,,,,,,,,,,,
20_1,11/21/2021,,,5:26,277.882,,,,,,,,,,,,,,
21_1,11/21/2021,,,5:27,201.032,,,,,,,,,,,,,,
22_1,11/21/2021,,,5:28,190.043,,,,,,,,,,,,,,
23_1,11/21/2021,,,5:29,194.671,,,,,,,,,,,,,,
24_1,11/21/2021,,,5:30,210.699,,,,,,,,,,,,,,
25_1,11/21/2021,12:38,,5:31,215.723,,,,,,,,,,,,,,
26_1,11/21/2021,,,5:32,196.022,,,,,,,,,,,,,,
27_1,11/21/2021,,,5:33,306.554,,,,,,,,,,,,,,
28_1,11/21/2021,,,5:34,356.865,,,,,,,,,,,,,,
