unique.id,moistureFraction,moisturePercent,Notes
01_1,0.282051282,28.20512821,
01_10,0.280081925,28.00819252,
01_11,0.287001287,28.7001287,
01_12,0.292657704,29.26577042,
01_13,0.310959622,31.09596224,
01_2,0.265502405,26.55024045,
02_1,0.282051282,28.20512821,
02_10,0.301574906,30.15749056,
02_11,0.278281989,27.8281989,
02_12,0.268230818,26.8230818,
02_13,0.283367557,28.33675565,
02_2,0.265502405,26.55024045,
03_11,0.278281989,27.8281989,
03_13,0.283367557,28.33675565,
03_8,0.264222503,26.42225032,
04_11,0.258970162,25.89701624,
04_13,0.257703434,25.77034335,
04_8,0.264222503,26.42225032,
05_3,0.296680498,29.66804979,
05_5,0.325556734,32.55567338,
05_8,0.29617628,29.617628,
06_3,0.296680498,29.66804979,
06_5,0.325556734,32.55567338,
06_8,0.29617628,29.617628,
07_1,0.315270288,31.5270288,
07_4,0.296344309,29.6344309,
07_7,0.301574906,30.15749056,
07_8,0.254075746,25.40757462,
07_9,0.295840353,29.58403525,
08_1,0.315270288,31.5270288,
08_4,0.296344309,29.6344309,
08_7,0.301574906,30.15749056,
08_8,0.254075746,25.40757462,
08_9,0.299883011,29.98830105,
09_10,0.275672918,27.56729175,
09_12,0.314924392,31.49243918,
09_13,0.319609396,31.96093956,
09_4,0.285016705,28.50167052,
09_7,0.253446979,25.34469792,
09_8,0.346619984,34.66199838,
10_10,0.303950971,30.39509714,
10_12,0.325556734,32.55567338,
10_13,0.284356537,28.43565374,
10_4,0.285016705,28.50167052,
10_7,0.253446979,25.34469792,
10_8,0.346619984,34.66199838,
11_12,0.325556734,32.55567338,
11_2,0.340662287,34.06622872,
11_6,0.306506402,30.65064019,
11_8,0.319087192,31.90871917,
11_9,0.296008295,29.60082945,
12_12,0.282380098,28.23800975,
12_2,0.340662287,34.06622872,
12_6,0.306506402,30.65064019,
12_8,0.319087192,31.90871917,
12_9,0.232134056,23.21340562,
13_1,0.230920729,23.09207287,
13_10,0.291822762,29.18227619,
13_13,0.261829653,26.1829653,
13_2,0.317175975,31.71759747,
13_4,0.272750414,27.27504136,
13_8,0.256281407,25.6281407,
13_9,0.232134056,23.21340562,
14_1,0.230920729,23.09207287,
14_10,0.301405518,30.1405518,
14_13,0.290156109,29.01561089,
14_2,0.317175975,31.71759747,
14_4,0.272750414,27.27504136,
14_8,0.256281407,25.6281407,
14_9,0.357588922,35.75889221,
15_1,0.260398286,26.03982859,
15_11,0.272750414,27.27504136,
15_12,0.269680041,26.96800406,
15_3,0.305994515,30.59945148,
15_5,0.267427123,26.74271229,
15_6,0.276813075,27.68130746,
15_7,0.277465508,27.74655084,
15_8,0.256281407,25.6281407,
15_9,0.357588922,35.75889221,
16_1,0.260398286,26.03982859,
16_11,0.286173633,28.61736334,
16_12,0.246416552,24.64165524,
16_3,0.305994515,30.59945148,
16_5,0.267427123,26.74271229,
16_6,0.276813075,27.68130746,
16_7,0.277465508,27.74655084,
16_8,0.283038235,28.30382345,
16_9,0.291155584,29.11555842,
17_12,0.246416552,24.64165524,
17_13,0.310444241,31.04442406,
17_8,0.283038235,28.30382345,
17_9,0.291155584,29.11555842,
18_12,0.303950971,30.39509714,
18_13,0.305823975,30.58239749,
18_8,0.298532658,29.85326581,
18_9,0.284356537,28.43565374,
19_1,0.269035533,26.9035533,
19_10,0.331735251,33.1735251,
19_11,0.303441085,30.34410845,
19_12,0.303950971,30.39509714,
19_3,0.273560876,27.35608762,
19_4,0.26135217,26.13521695,
19_5,0.220405175,22.04051745,
19_7,0.230920729,23.09207287,
19_8,0.298532658,29.85326581,
20_1,0.269035533,26.9035533,
20_10,0.220256254,22.02562538,
20_11,0.247349383,24.73493826,
20_12,0.286670098,28.66700978,
20_3,0.273560876,27.35608762,
20_4,0.26135217,26.13521695,
20_5,0.220405175,22.04051745,
20_7,0.230920729,23.09207287,
20_8,0.30701869,30.70186904,
21_11,0.247349383,24.73493826,
21_2,0.279263144,27.92631444,
21_3,0.298532658,29.85326581,
21_6,0.292323598,29.23235978,
22_11,0.223690651,22.3690651,
22_2,0.279263144,27.92631444,
22_3,0.298532658,29.85326581,
22_6,0.292323598,29.23235978,
23_11,0.223690651,22.3690651,
23_12,0.252975818,25.29758176,
23_5,0.318044023,31.80440227,
23_7,0.226391955,22.63919549,two doses
23_8,0.269518852,26.95188524,
24_11,0.269357705,26.9357705,
24_12,0.294498382,29.44983819,
24_5,0.318044023,31.80440227,
24_7,0.226391955,22.63919549,
24_8,0.278118609,27.81186094,
25_1,0.275835672,27.58356724,
25_10,0.251251251,25.12512513,
25_11,0.269357705,26.9357705,
25_13,0.295840353,29.58403525,
25_5,0.323276432,32.32764324,
25_6,0.287332647,28.73326468,
25_7,0.249219238,24.9219238,
25_8,0.278118609,27.81186094,
26_1,0.275835672,27.58356724,
26_10,0.299545159,29.95451592,
26_11,0.226692836,22.66928361,
26_13,0.322751323,32.27513228,
26_5,0.323276432,32.32764324,
26_6,0.287332647,28.73326468,
26_7,0.249219238,24.9219238,
26_8,0.300221038,30.02210376,
27_10,0.299545159,29.95451592,
27_12,0.348254011,34.82540111,
27_2,0.305823975,30.58239749,
27_5,0.293995859,29.39958592,
27_7,0.292991983,29.29919834,
27_8,0.300221038,30.02210376,
28_10,0.280573697,28.0573697,
28_12,0.287001287,28.7001287,
28_2,0.305823975,30.58239749,
28_5,0.293995859,29.39958592,
28_7,0.292991983,29.29919834,
28_8,0.281065847,28.10658468,
29_12,0.287001287,28.7001287,
29_13,0.362954886,36.29548862,
29_2,0.214624074,21.46240738,
29_3,0.232437762,23.24377619,
29_6,0.315270288,31.5270288,
29_7,0.298532658,29.85326581,
29_9,0.313370108,31.33701077,
30_12,0.254233037,25.42330365,
30_13,0.283367557,28.33675565,
30_2,0.214624074,21.46240738,
30_3,0.232437762,23.24377619,
30_6,0.315270288,31.5270288,
30_7,0.298532658,29.85326581,
30_9,0.273723093,27.37230926,
31_1,0.239618198,23.96181976,
31_10,0.310444241,31.04442406,
31_13,0.283367557,28.33675565,
31_3,0.305142261,30.51422605,
31_7,0.291489087,29.14890869,
32_1,0.239618198,23.96181976,
32_10,0.326787847,32.67878466,
32_13,0.300221038,30.02210376,
32_3,0.305142261,30.51422605,
32_7,0.291489087,29.14890869,
33_13,0.300221038,30.02210376,
33_2,0.229407426,22.94074256,
33_3,0.28584287,28.584287,
33_4,0.269196599,26.91965986,
33_7,0.2848516,28.48515996,
33_8,0.303780965,30.37809648,
34_2,0.229407426,22.94074256,
34_3,0.28584287,28.584287,
34_4,0.269196599,26.91965986,
34_7,0.2848516,28.48515996,
34_8,0.250781739,25.07817386,
35_1,0.285181853,28.51818532,
35_10,0.28882588,28.88258796,
35_12,0.295336788,29.53367876,
35_2,0.284356537,28.43565374,
35_3,0.252348153,25.23481528,
35_4,0.340842049,34.08420488,
35_6,0.311991603,31.19916033,
35_7,0.319609396,31.96093956,
35_8,0.250781739,25.07817386,
36_1,0.285181853,28.51818532,
36_10,0.310272537,31.02725367,
36_12,0.344989913,34.49899126,
36_2,0.284356537,28.43565374,
36_3,0.252348153,25.23481528,
36_4,0.340842049,34.08420488,
36_6,0.311991603,31.19916033,
36_7,0.319609396,31.96093956,
36_8,0.266624446,26.66244459,
37_1,0.292657704,29.26577042,
37_11,0.263264275,26.32642749,
37_2,0.303101381,30.31013813,
37_5,0.303101381,30.31013813,
37_6,0.234263145,23.42631449,
37_9,0.306165099,30.61650993,
38_1,0.292657704,29.26577042,
38_11,0.275998469,27.59984688,
38_2,0.303101381,30.31013813,
38_5,0.303101381,30.31013813,
38_6,0.234263145,23.42631449,
38_9,0.296512382,29.65123817,
39_1,0.262148176,26.21481762,
39_10,0.295336788,29.53367876,
39_2,0.270809506,27.08095057,
39_3,0.331912627,33.19126265,
39_7,0.27420999,27.42099898,
39_9,0.296512382,29.65123817,
40_1,0.262148176,26.21481762,
40_10,0.265822785,26.58227848,
40_2,0.270809506,27.08095057,
40_3,0.331912627,33.19126265,
40_7,0.27420999,27.42099898,
40_9,0.315270288,31.5270288,
41_1,0.328550551,32.85505513,
41_11,0.385041551,38.50415512,
41_2,0.303611003,30.36110025,
41_4,0.337971635,33.7971635,
42_1,0.328550551,32.85505513,
42_11,0.305823975,30.58239749,
42_2,0.303611003,30.36110025,
42_4,0.337971635,33.7971635,
43_1,0.237821575,23.7821575,
43_10,0.303950971,30.39509714,
43_12,0.251721117,25.17211165,
43_2,0.279099514,27.90995139,
43_3,0.237317496,23.73174957,
43_5,0.256281407,25.6281407,
43_6,0.264702163,26.47021626,
44_1,0.237821575,23.7821575,
44_10,0.318739285,31.87392852,
44_12,0.273398701,27.33987011,
44_2,0.279099514,27.90995139,
44_3,0.237317496,23.73174957,
44_5,0.256281407,25.6281407,
44_6,0.264702163,26.47021626,
45_12,0.273398701,27.33987011,
45_2,0.274534795,27.45347948,
