Sample_ID,Rep,"Average 
% soil moist",Dry weight mass,"Dry Weight 
Equivalant Target",Actual Mass Fresh Soil,"Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,IRGA_Date
DCH_H1,1,26.89,4,5.4711,7.4897,5.4758,5,37_5,9.5,17-Nov
DCH_H1,2,26.89,4,5.4711,7.4772,5.4667,5,38_5,9.5,17-Nov
DCH_H2,1,22.54,4,5.1637,6.7179,5.204,3,35_3,8.5,14-Nov
DCH_H2,2,22.54,4,5.1637,6.6097,5.1202,3,36_3,8,14-Nov
DCH_H3,1,23.95,4,5.2596,6.9712,5.3017,6,01_6,8.5,17-Nov
DCH_H3,2,23.95,4,5.2596,6.89,5.24,6,02_6,8.5,17-Nov
DCH_H4,1,23.28,4,5.2136,6.8776,5.2767,1,15_1,9,8-Nov
DCH_H4,2,23.28,4,5.2136,6.8033,5.2197,1,16_1,9,8-Nov
DCH_H5,1,25.25,4,5.3508,7.2008,5.3829,3,19_3,9,14-Nov
DCH_H5,2,25.25,4,5.3508,7.2257,5.4015,3,20_3,9.5,14-Nov
DCH_H6,1,24.29,4,5.283,6.9949,5.2962,5,35_5,8.5,17-Nov
DCH_H6,2,24.29,4,5.283,7.0331,5.3251,5,36_5,9,17-Nov
DCH_H7,1,24.13,4,5.2725,6.9214,5.251,5,15_5,9,17-Nov
DCH_H7,2,24.13,4,5.2725,6.9518,5.2741,5,16_5,9,17-Nov
DCH_H8,1,25.74,4,5.3861,7.2588,5.3907,5,43_5,9,17-Nov
DCH_H8,2,25.74,4,5.3861,7.2207,5.3624,5,44_5,9,17-Nov
DCH_V1,1,24.44,4,5.2935,7.0055,5.2936,5,47_5,8.5,17-Nov
DCH_V1,2,24.44,4,5.2935,6.9958,5.2863,5,48_5,8.5,17-Nov
DCH_V2,1,24.32,4,5.2853,6.9433,5.2548,1,35_1,9,8-Nov
DCH_V2,2,24.32,4,5.2853,6.9474,5.2579,1,36_1,9,8-Nov
DCH_V3,1,27.88,4,5.546,7.7521,5.5912,2,29_2,10,8-Nov
DCH_V3,2,27.88,4,5.546,7.7825,5.6131,2,30_2,10,8-Nov
DCH_V4,1,27.74,4,5.5356,7.6221,5.5077,1,03_1,9.5,8-Nov
DCH_V4,2,27.74,4,5.5356,7.663,5.5372,1,04_1,9.5,8-Nov
DCH_V5,1,23.32,4,5.2166,6.8034,5.2168,4,07_4,8.5,14-Nov
DCH_V5,2,23.32,4,5.2166,6.7964,5.2114,4,08_4,8.5,14-Nov
DCH_V6,1,25.5,4,5.3692,7.1951,5.3603,3,09_3,8,14-Nov
DCH_V6,2,25.5,4,5.3692,7.1802,5.3492,3,10_3,8.5,14-Nov
DCH_V7,1,23.28,4,5.2137,6.7911,5.2102,4,09_4,8.5,14-Nov
DCH_V7,2,23.28,4,5.2137,6.7812,5.2026,4,10_4,8.5,14-Nov
DCH_V8,1,25.54,4,5.3718,7.2883,5.4271,3,29_3,8.5,14-Nov
DCH_V8,2,25.54,4,5.3718,7.3032,5.4382,3,30_3,8.5,14-Nov
DCN_H1,1,23.06,4,5.1985,6.7787,5.2158,1,43_1,9,8-Nov
DCN_H1,2,23.06,4,5.1985,6.7217,5.172,1,44_1,9,8-Nov
DCN_H2,1,23.93,4,5.2585,6.9411,5.2799,3,07_3,9.5,14-Nov
DCN_H2,2,23.93,4,5.2585,6.9113,5.2573,3,08_3,9,14-Nov
DCN_H3,1,24.03,4,5.2651,6.8865,5.2318,5,17_5,9,17-Nov
DCN_H3,2,24.03,4,5.2651,6.8763,5.224,5,18_5,9,17-Nov
DCN_H4,1,21.79,4,5.1141,6.5593,5.1303,3,27_3,9,14-Nov
DCN_H4,2,21.79,4,5.1141,6.5655,5.1352,3,28_3,8,14-Nov
DCN_H5,1,22.79,4,5.1807,6.7558,5.2161,1,31_1,8,8-Nov
DCN_H5,2,22.79,4,5.1807,6.7693,5.2265,1,32_1,8,8-Nov
DCN_H6,1,21.39,4,5.0882,6.4529,5.0728,2,25_2,8.5,8-Nov
DCN_H6,2,21.39,4,5.0882,6.4687,5.0852,2,26_2,8.5,8-Nov
DCN_H7,1,21.39,4,5.0882,6.4371,5.0604,3,45_3,8,14-Nov
DCN_H7,2,21.39,4,5.0882,6.4701,5.0863,3,46_3,8,14-Nov
DCN_H8,1,21.57,4,5.1001,6.5036,5.1008,5,09_5,8.5,17-Nov
DCN_H8,2,21.57,4,5.1001,6.5178,5.1119,5,10_5,8.5,17-Nov
DCS_H1,1,22.78,4,5.1802,6.7519,5.2136,7,07_7,8,19-Nov
DCS_H1,2,22.78,4,5.1802,6.7684,5.2263,7,08_7,8,19-Nov
DCS_H2,1,27.13,4,5.4893,7.5065,5.4699,7,17_7,9,19-Nov
DCS_H2,2,27.13,4,5.4893,7.5901,5.5308,7,18_7,9,19-Nov
DCS_H4,1,22.46,4,5.1588,6.6537,5.1591,7,31_7,8.5,19-Nov
DCS_H4,2,22.46,4,5.1588,6.6906,5.1877,7,32_7,8.5,19-Nov
DCS_H5,1,25.2,4,5.3473,7.1713,5.3644,6,25_6,9,17-Nov
DCS_H5,2,25.2,4,5.3473,7.1551,5.3523,6,26_6,8.5,17-Nov
DCS_H6,1,24.36,4,5.288,6.9777,5.2781,7,47_7,9,19-Nov
DCS_H6,2,24.36,4,5.288,7.0222,5.3118,7,48_7,9,19-Nov
DCS_H7,1,23.94,4,5.2594,6.9387,5.2772,7,45_7,8.5,19-Nov
DCS_H7,2,23.94,4,5.2594,6.9866,5.3137,7,46_7,8.5,19-Nov
DCS_H8,1,23.73,4,5.2448,6.9091,5.2692,7,25_7,8,19-Nov
DCS_H8,2,23.73,4,5.2448,6.9012,5.2632,7,26_7,8.5,19-Nov
FNH_H1,1,23.97,4,5.2611,6.8923,5.2402,3,39_3,9,14-Nov
FNH_H1,2,23.97,4,5.2611,6.8998,5.2459,3,40_3,9,14-Nov
FNH_H2,1,17.29,4,4.8364,5.8573,4.8443,3,23_3,7.5,14-Nov
FNH_H2,2,17.29,4,4.8364,5.8526,4.8404,3,24_3,7.5,14-Nov
FNH_H3,1,19.8,4,4.9874,6.2659,5.0254,5,21_5,8,17-Nov
FNH_H3,2,19.8,4,4.9874,6.2725,5.0307,5,22_5,7.5,17-Nov
FNH_H4,1,19.3,4,4.9564,6.1478,4.9615,5,03_5,7.5,17-Nov
FNH_H4,2,19.3,4,4.9564,6.1092,4.9304,5,04_5,7.5,17-Nov
FNH_H5,1,21.34,4,5.0849,6.4714,5.0907,1,13_1,8,8-Nov
FNH_H5,2,21.34,4,5.0849,6.4213,5.0513,1,14_1,8,8-Nov
FNH_H6,1,22.89,4,5.1873,6.7087,5.1732,1,11_1,8,8-Nov
FNH_H6,2,22.89,4,5.1873,6.7324,5.1914,1,12_1,8,8-Nov
FNH_H7,1,21.98,4,5.1268,6.5519,5.1119,4,31_4,8,14-Nov
FNH_H7,2,21.98,4,5.1268,6.5611,5.1191,4,32_4,8,14-Nov
FNH_H8,1,21.06,4,5.0672,6.4582,5.098,3,05_3,7.5,14-Nov
FNH_H8,2,21.06,4,5.0672,6.4202,5.068,3,06_3,8,14-Nov
FNH_V1,1,22.11,4,5.1355,6.6237,5.1592,4,11_4,8,14-Nov
FNH_V1,2,22.11,4,5.1355,6.6551,5.1836,4,12_4,8,14-Nov
FNH_V2,1,22.88,4,5.1866,6.7065,5.1722,1,25_1,8.5,8-Nov
FNH_V2,2,22.88,4,5.1866,6.7,5.1672,1,26_1,8.5,8-Nov
FNH_V3,1,25.36,4,5.3592,7.2341,5.3994,5,05_5,9,17-Nov
FNH_V3,2,25.36,4,5.3592,7.1959,5.3709,5,06_5,9.5,17-Nov
FNH_V4,1,24.71,4,5.3125,7.0516,5.3094,1,27_1,9,8-Nov
FNH_V4,2,24.71,4,5.3125,7.0989,5.345,1,28_1,9,8-Nov
FNH_V5,1,23.14,4,5.204,6.8451,5.2614,5,19_5,9,17-Nov
FNH_V5,2,23.14,4,5.204,6.8565,5.2702,5,20_5,8.5,17-Nov
FNH_V6,1,19.98,4,4.9985,6.2214,4.9786,1,07_1,8,8-Nov
FNH_V6,2,19.98,4,4.9985,6.2266,4.9828,1,08_1,8,8-Nov
FNH_V7,1,21.1,4,5.0699,6.3928,5.0438,1,39_1,7.5,8-Nov
FNH_V7,2,21.1,4,5.0699,6.3754,5.03,1,40_1,7.5,8-Nov
FNH_V8,1,24.31,4,5.2851,7.0376,5.3264,2,21_2,9.5,8-Nov
FNH_V8,2,24.31,4,5.2851,7.0903,5.3663,2,22_2,9.5,8-Nov
FNN_H1,1,22.59,4,5.167,6.6748,5.1673,5,45_5,8,17-Nov
FNN_H1,2,22.59,4,5.167,6.6779,5.1697,5,46_5,8,17-Nov
FNN_H2,1,23.13,4,5.2037,6.8106,5.2352,4,23_4,8,14-Nov
FNN_H2,2,23.13,4,5.2037,6.7768,5.2092,4,24_4,8.5,14-Nov
FNN_H3,1,22.57,4,5.1661,6.6859,5.1767,4,13_4,9,14-Nov
FNN_H3,2,22.57,4,5.1661,6.6839,5.1752,4,14_4,9,14-Nov
FNN_H4,1,23.76,4,5.2465,6.9017,5.262,6,11_6,8.5,17-Nov
FNN_H4,2,23.76,4,5.2465,6.8845,5.2489,6,12_6,9,17-Nov
FNN_H5,1,23.59,4,5.2346,6.8355,5.2233,6,05_6,8.5,17-Nov
FNN_H5,2,23.59,4,5.2346,6.8409,5.2274,6,06_6,8.5,17-Nov
FNN_H6,1,22.64,4,5.1709,6.7334,5.2087,1,17_1,8.5,8-Nov
FNN_H6,2,22.64,4,5.1709,6.7396,5.2135,1,18_1,8.5,8-Nov
FNN_H7,1,23.29,4,5.2147,6.7912,5.2093,2,01_2,8,8-Nov
FNN_H7,2,23.29,4,5.2147,6.7877,5.2066,2,02_2,8,8-Nov
FNS_H1,1,23.3,4,5.2148,6.7803,5.2008,8,01_8,9,19-Nov
FNS_H1,2,23.3,4,5.2148,6.8139,5.2266,8,02_8,9,19-Nov
FNS_H2,1,29.84,4,5.7011,8.1638,5.7278,7,41_7,9.5,19-Nov
FNS_H2,2,29.84,4,5.7011,8.1694,5.7318,7,42_7,9.5,19-Nov
