unique.id,moistureFraction,moisturePercent
01_1,0.282920927,28.29209273
01_2,0.303667412,30.36674119
01_3,0.314549288,31.45492884
01_4,0.303895332,30.38953315
01_6,0.314893172,31.48931724
01_7,0.282551742,28.25517422
01_8,0.303696622,30.36966221
02_1,0.282920927,28.29209273
02_2,0.303667412,30.36674119
02_3,0.314549288,31.45492884
02_4,0.303895332,30.38953315
02_6,0.314893172,31.48931724
02_7,0.282551742,28.25517422
02_8,0.303696622,30.36966221
03_1,0.383903134,38.39031339
03_2,0.3091775,30.91775003
03_3,0.327117139,32.71171389
03_5,0.239096814,23.90968141
03_6,0.305132709,30.51327088
03_7,0.358389384,35.83893837
03_8,0.429641668,42.9641668
04_1,0.383903134,38.39031339
04_2,0.3091775,30.91775003
04_3,0.327117139,32.71171389
04_5,0.239096814,23.90968141
04_6,0.305132709,30.51327088
04_7,0.358389384,35.83893837
04_8,0.429641668,42.9641668
05_1,0.318747475,31.87474747
05_2,0.302720459,30.2720459
05_3,0.266800874,26.68008738
05_5,0.339802736,33.98027362
05_6,0.308658122,30.86581219
05_7,0.29458717,29.45871696
05_8,0.295104279,29.51042793
06_1,0.318747475,31.87474747
06_2,0.302720459,30.2720459
06_3,0.266800874,26.68008738
06_5,0.339802736,33.98027362
06_6,0.308658122,30.86581219
06_7,0.29458717,29.45871696
06_8,0.295104279,29.51042793
07_1,0.249622591,24.96225912
07_3,0.314621293,31.46212933
07_4,0.30414054,30.414054
07_6,0.319274699,31.92746989
07_7,0.295054875,29.50548752
07_8,0.304337982,30.43379822
08_1,0.249622591,24.96225912
08_3,0.314621293,31.46212933
08_4,0.30414054,30.414054
08_6,0.319274699,31.92746989
08_7,0.295054875,29.50548752
08_8,0.304337982,30.43379822
09_2,0.377476142,37.74761416
09_3,0.342295477,34.22954769
09_4,0.303418803,30.34188034
09_5,0.275017464,27.50174642
09_6,0.317604116,31.76041163
09_7,0.304573763,30.45737633
09_8,0.27711079,27.71107896
10_2,0.377476142,37.74761416
10_3,0.342295477,34.22954769
10_4,0.303418803,30.34188034
10_5,0.275017464,27.50174642
10_6,0.317604116,31.76041163
10_7,0.304573763,30.45737633
