Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/28 15:20:40,24.11,DC,DC,S_DCH_H1,40,Herbivore
2,2021/07/28 16:20:40,22.48,DC,DC,S_DCH_H1,40,Herbivore
3,2021/07/28 17:20:40,22.43,DC,DC,S_DCH_H1,40,Herbivore
4,2021/07/28 18:20:40,22.65,DC,DC,S_DCH_H1,40,Herbivore
5,2021/07/28 19:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
6,2021/07/28 20:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
7,2021/07/28 21:20:40,22.61,DC,DC,S_DCH_H1,40,Herbivore
8,2021/07/28 22:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
9,2021/07/28 23:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
10,2021/07/29 00:20:40,22.86,DC,DC,S_DCH_H1,40,Herbivore
11,2021/07/29 01:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
12,2021/07/29 02:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
13,2021/07/29 03:20:40,22.91,DC,DC,S_DCH_H1,40,Herbivore
14,2021/07/29 04:20:40,22.99,DC,DC,S_DCH_H1,40,Herbivore
15,2021/07/29 05:20:40,22.99,DC,DC,S_DCH_H1,40,Herbivore
16,2021/07/29 06:20:40,23.03,DC,DC,S_DCH_H1,40,Herbivore
17,2021/07/29 07:20:40,23.16,DC,DC,S_DCH_H1,40,Herbivore
18,2021/07/29 08:20:40,23.08,DC,DC,S_DCH_H1,40,Herbivore
19,2021/07/29 09:20:40,22.78,DC,DC,S_DCH_H1,40,Herbivore
20,2021/07/29 10:20:40,22.61,DC,DC,S_DCH_H1,40,Herbivore
21,2021/07/29 11:20:40,22.48,DC,DC,S_DCH_H1,40,Herbivore
22,2021/07/29 12:20:40,22.35,DC,DC,S_DCH_H1,40,Herbivore
23,2021/07/29 13:20:40,22.56,DC,DC,S_DCH_H1,40,Herbivore
24,2021/07/29 14:20:40,22.39,DC,DC,S_DCH_H1,40,Herbivore
25,2021/07/29 15:20:40,22.56,DC,DC,S_DCH_H1,40,Herbivore
26,2021/07/29 16:20:40,22.52,DC,DC,S_DCH_H1,40,Herbivore
27,2021/07/29 17:20:40,22.52,DC,DC,S_DCH_H1,40,Herbivore
28,2021/07/29 18:20:40,22.65,DC,DC,S_DCH_H1,40,Herbivore
