Site,Plot,Biomass_Bag_g,Bag_g,Biomass_g,SORU,POPRC,MISC,SampleDate,Year
FN,A,87.5,47,40.5,5,85,10,9/27/21,2021
FN,B,98.6,47.4,51.2,5,93,2,9/27/21,2021
FN,C,106.2,46.6,59.6,0,30,70,9/27/21,2021
FN,D,317.6,46.9,270.7,80,2,18,9/27/21,2021
FN,E,144.3,46.6,97.7,25,70,5,9/27/21,2021
FN,F,126.8,47,79.8,0,90,10,9/27/21,2021
FN,G,181.9,46.2,135.7,100,0,0,9/27/21,2021
FN,H,210,47.1,162.9,60,20,20,9/27/21,2021
FN,I,136.8,46.3,90.5,40,30,30,9/27/21,2021
FN,J,143.3,46.5,96.8,40,10,50,9/27/21,2021
FN,K,113.7,47.1,66.6,15,45,40,9/27/21,2021
FN,L,119.1,47.2,71.9,10,15,75,9/27/21,2021
FN,M,186.5,46.7,139.8,45,25,30,9/27/21,2021
FN,N,113.8,46.7,67.1,40,20,40,9/27/21,2021
FN,O,140.6,47.2,93.4,50,25,25,9/27/21,2021
FN,P,116.6,47,69.6,0,50,50,9/27/21,2021
FN,Q,122.1,46.7,75.4,5,85,10,9/27/21,2021
FN,R,123.7,46.3,77.4,10,10,80,9/27/21,2021
FN,S,252.5,47.1,205.4,15,70,15,9/27/21,2021
FN,T,167.2,47.2,120,0,80,20,9/27/21,2021
SC,A,118.9,46.9,72,0,60,40,9/28/21,2021
SC,B,130.5,46.8,83.7,0,70,30,9/28/21,2021
SC,C,140.7,46.5,94.2,0,100,0,9/28/21,2021
SC,D,113.9,47.3,66.6,5,75,20,9/28/21,2021
SC,E,224.6,46.8,177.8,80,10,10,9/28/21,2021
SC,F,154.1,46.6,107.5,10,60,30,9/28/21,2021
SC,G,140.6,47.1,93.5,50,10,40,9/28/21,2021
SC,H,140.9,47.1,93.8,40,30,30,9/28/21,2021
SC,I,149.2,46.9,102.3,30,60,10,9/28/21,2021
SC,J,183.2,46.7,136.5,90,10,0,9/28/21,2021
SC,K,138.4,46.3,92.1,20,60,20,9/28/21,2021
SC,L,188.2,46.6,141.6,60,30,10,9/28/21,2021
SC,M,107.6,47,60.6,0,30,70,9/28/21,2021
SC,N,123.4,46.8,76.6,20,40,40,9/28/21,2021
SC,O,127.9,46.7,81.2,40,55,5,9/28/21,2021
SC,P,143.1,46.6,96.5,25,70,5,9/28/21,2021
SC,Q,163.2,47,116.2,90,8,2,9/28/21,2021
SC,R,166.9,47.3,119.6,25,25,50,9/28/21,2021
SC,S,156.9,46.9,110,30,10,60,9/28/21,2021
SC,T,128.3,46.6,81.7,5,65,30,9/28/21,2021
UP,A,206.9,46.5,160.4,40,20,40,9/24/21,2021
UP,B,172.6,46.3,126.3,95,1,4,9/24/21,2021
UP,C,162.9,46.1,116.8,80,10,10,9/24/21,2021
UP,D,127.4,46.3,81.1,10,85,5,9/24/21,2021
UP,E,136.4,46.3,90.1,60,20,20,9/24/21,2021
UP,F,138.6,46.5,92.1,70,20,10,9/24/21,2021
UP,G,159.1,46.1,113,45,40,15,9/24/21,2021
UP,H,128.8,46.3,82.5,35,40,25,9/24/21,2021
UP,I,126,46.3,79.7,30,65,5,9/24/21,2021
UP,J,159.6,46.5,113.1,70,25,5,9/24/21,2021
UP,K,148.7,46,102.7,20,50,30,9/24/21,2021
UP,L,192.4,46.3,146.1,20,10,70,9/24/21,2021
UP,M,128.7,46.2,82.5,10,5,85,9/24/21,2021
UP,N,125.2,46.2,79,0,10,90,9/24/21,2021
UP,O,159.3,46.3,113,25,50,25,9/24/21,2021
UP,P,110.5,46.5,64,0,90,10,9/24/21,2021
UP,Q,183.2,46,137.2,25,30,45,9/24/21,2021
UP,R,160.7,44.9,115.8,10,50,40,9/24/21,2021
UP,S,156.3,46,110.3,15,65,20,9/24/21,2021
UP,T,203.5,46,157.5,0,60,40,9/24/21,2021
YF,A,204.9,46.9,158,0,60,40,9/16/21,2021
YF,B,126.8,47.3,79.5,0,70,30,9/16/21,2021
YF,C,190.3,47.4,142.9,5,85,10,9/16/21,2021
YF,D,168.7,47.4,121.3,0,100,0,9/16/21,2021
YF,E,184.5,47,137.5,49,49,2,9/16/21,2021
YF,F,208.6,47.3,161.3,80,10,10,9/16/21,2021
YF,G,152.8,47.2,105.6,0,95,5,9/16/21,2021
YF,H,163.9,47.1,116.8,45,45,10,9/16/21,2021
YF,I,131.3,47.1,84.2,96,3,1,9/16/21,2021
YF,J,153.9,47.2,106.7,0,65,35,9/16/21,2021
YF,K,171.5,47.2,124.3,20,40,40,9/16/21,2021
YF,L,158.1,47.4,110.7,25,20,55,9/16/21,2021
YF,M,138.6,47.1,91.5,45,40,15,9/16/21,2021
YF,N,148.6,46.9,101.7,10,30,60,9/16/21,2021
YF,O,132.5,45.7,86.8,5,75,20,9/16/21,2021
YF,P,128.7,47,81.7,40,5,55,9/16/21,2021
YF,Q,213.2,47.5,165.7,15,15,70,9/16/21,2021
YF,R,153.9,47.3,106.6,5,30,65,9/16/21,2021
