USDA_code,ScientificName,CommonName,FunctionGroup,Status,FunctionGroupSimple
SORU2,Solidago rugosa,wrikle leaf goldenrod,Herb,Native,SORU2
SOCA6,Solidago canadensis,Canada goldenrod,Herb,Native,Herb
POPRC,Poa pratensis,kentucky bluegrass,Grass,Introduced,Grass
TORA2,Toxicodendron radicans,poison ivy,Vine,Native,Herb
SONI,Solanum nigrum,black nightshade,Herb,Native,Herb
SYLA4,Symphyotrichum lateriflorum,Calico aster,Herb,Native,Herb
PHPR3,Phleum pratense,Timothy grass,Grass,Native,Grass
ASSY,Asclepias syriaca,common milkweed,Herb,Introduced,Herb
TAOF,Taraxacum officinale,dandelion,Herb,Introduced,Herb
ROMU,Rosa multiflora,multiflora rose,Shurb,Introduced,Herb
CYRO8 ,Cynanchum rossicum,pale swallow wort,Vine,Introduced,Herb
GECA,Geum canadense,white avens,Herb,Native,Herb
GA,Gallium sp,bedstraw,Herb,Introduced,Herb
PIMU,Pycnanthemum muticum,clustered mountain mint,Herb,Native,Herb
RU,Rubus sp.,blackberry,Shurb,Native,Herb
PAQU2,Parthenocissus quinquefolia,virginia creeper,Vine,Native,Herb
DICL,Dichanthelium clandestinum ,deertongue,Herb,Introduced,Herb
FRAM2,Fraxinus americana,white ash,Tree,Native,Herb
VEAR,Veronica arvensis,Corn speedwell,Herb,Introduced,Herb
DACA6,Daucus carota,Queen Anne's lace,Herb,Introduced,Herb
EUGR5,Euthamia graminifolia,Flat topped goldenrod/Grass-leaved goldenrod,Herb,Native,Herb
SYNO2,Symphyotrichum novae-angliae,New england aster,Herb,Native,Herb
FRVI,Fragaria virginiana,Virginia strawberry,Herb,Native,Herb
OX,Oxalis sp.,sorel,Herb,Native,Herb
PORE,Potentilla recta,cinquefoil,Vine,Native,Herb
CA,Carex sp.,sedge,Sedge,Native,Herb
IP,Ipomea sp.,morning glory,Vine,Native,Herb
LEVU,Leucanthemum vulgare,oxeye daisy,Herb,Introduced,Herb
CYLO11,Cynanchum louiseae,Black swallow-wort,Vine,Introduced,Herb
BARE,,bare ground,,,
CASE13,Calystegia sepium,hedge bindeweed,Herb,Introduced,Herb
JUNI,Juglans nigra,black walnut,Tree,Native,Herb
ARMI2,Arctium minus,common burdock,Herb,Introduced,Herb
ACSA,Acer saccharum,sugar maple,Tree,Native,Herb
JU,Juncus sp.,rush,Grass,Native,Herb
CEOR,Celastrus orbiculata ,oriental bittersweet,Vine,Introduced,Herb
SOAL6,Solidago altissima,late goldenrod,Herb,Native,Herb
RUHI,Rubus hispidus,Swamp dewberry,Vine,Native,Herb
BRYO,Bryophytes,Moss,Moss,Native,Herb
PIST,Pinus strobus,white pine,Tree,Native,Herb
ONSE,Onoclea sensibilis,sensitive fern,Fern,Native,Herb
SEVA4,Securigera varia,crown vetch,Herb,Introduced,Herb
CORA6,Cornus racemosa,grey dogwood,Shrub,Native,Herb
ALIN2,Alnus incana,grey alder,Shrub,Native,Herb
HYPE,Hypericum perforatum,St John's wort,Herb,Introduced,Herb
VIRI,Vitis riparia,river grape,Vine,Native,Herb
POAN3,Populus angustifolia,cottonwood,Tree,Native,Herb
SOJU ,Solidago juncea,early goldenrod,Herb,Native,Herb
CAPL4,Carex plantaginea,plantain leaved sedge,Sedge,Native,Herb
BE,Betula sp.,birch,Tree,Native,Herb
TRPL2,Trifolium pratense,red clover,Herb,Introduced,Herb
FIVU,Filipendula vulgaris,dropwort,Herb,Introduced,Herb
VI,Viola sp.,Viola,Herb,Native,Herb
SPAL2,Spiraea alba,white meadowsweet,Herb,Native,Herb
RHCA,Rhamnus cathartica,common buckthorn,Tree,Introduced,Herb
PA,Packera sp.,groundsel,Herb,Introduced,Herb
ACGI,Acer ginnala,Amur maple,Tree,Introduced,Herb
POBI2,Polygonatum biflorum,true solomon's seal,Herb,Native,Herb
HI,Hieracium sp.,hawkweed,Herb,Introduced,Herb
RUTR2,,,,,
Saxifrage,,,,,
SOAM3,,,,,
Mint php43?,Speedvine,,,,
Thistle,,,,,
cinqufoil,,,,,
quercuss,,,,,
tiarell,,,,,
