Cage_ID,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
S_DCH_H1,1,1.2414,3.094,10/14/24 13:00,10/18/24 19:00,2.3005,1.0591,42.83169599,0.749221037,0.486993674
S_DCH_H1,2,1.1446,3.4037,10/14/24 13:00,10/18/24 19:00,2.4324,1.2878,42.99499801,0.754232024,0.490250815
S_DCH_H2,1,1.2364,4.4685,10/13/24 17:30,10/18/24 19:00,3.2291,1.9927,38.34658581,0.621970191,0.404280624
S_DCH_H2,2,1.2364,4.5686,10/13/24 17:30,10/18/24 19:00,3.3069,2.0705,37.86387372,0.609369718,0.396090316
S_DCH_H3,1,1.238,6.154,10/12/24 17:25,10/13/24 17:30,4.2284,2.9904,39.17005696,0.643927234,0.418552702
S_DCH_H3,2,1.2426,6.1253,10/12/24 17:25,10/13/24 17:30,4.3034,3.0608,37.3133717,0.59523654,0.386903751
S_DCH_H4,1,1.1151,3.9737,10/14/24 13:00,10/18/24 19:00,2.7653,1.6502,42.27244106,0.732274876,0.475978669
S_DCH_H4,2,1.1611,3.3421,10/14/24 13:00,10/18/24 19:00,2.5129,1.3518,38.01925722,0.61340435,0.398712827
S_DCH_H5,1,1.099,5.0426,10/12/24 17:25,10/13/24 17:30,3.5138,2.4148,38.76660919,0.633095909,0.411512341
S_DCH_H5,2,1.2468,4.6245,10/12/24 17:25,10/13/24 17:30,3.2744,2.0276,39.97098617,0.665861117,0.432809726
S_DCH_H6,1,1.2061,4.5896,10/13/24 17:30,10/18/24 19:00,3.1957,1.9896,41.19698537,0.700593084,0.455385505
S_DCH_H6,2,1.2054,5.8374,10/13/24 17:30,10/18/24 19:00,4.0604,2.855,38.36355786,0.622416813,0.404570928
S_DCH_H7,1,1.2597,3.1623,10/13/24 17:30,10/18/24 19:00,2.4829,1.2232,35.70902975,0.555428385,0.36102845
S_DCH_H7,2,1.2159,4.0064,10/13/24 17:30,10/18/24 19:00,2.9723,1.7564,37.05787493,0.588761102,0.382694717
S_DCH_H8,1,1.2881,5.6554,10/13/24 17:30,10/18/24 19:00,4.2147,2.9266,32.9883452,0.492277728,0.319980524
S_DCH_H8,2,1.2677,7.7066,10/13/24 17:30,10/18/24 19:00,5.4084,4.1407,35.69243194,0.555026928,0.360767503
S_DCH_V1,1,1.2481,4.499,10/13/24 17:30,10/18/24 19:00,3.2541,2.006,38.29401089,0.620588235,0.403382353
S_DCH_V1,2,1.2135,4.7274,10/13/24 17:30,10/18/24 19:00,3.3114,2.0979,40.29710578,0.674960675,0.438724439
S_DCH_V2,1,1.2543,4.6438,10/13/24 17:30,10/18/24 19:00,3.5058,2.2515,33.57427349,0.505440817,0.328536531
S_DCH_V2,2,1.2149,4.8499,10/13/24 17:30,10/18/24 19:00,3.6027,2.3878,34.31086657,0.522321803,0.339509172
S_DCH_V3,1,1.2672,4.6443,10/19/24 13:45,10/30/24 14:00,3.2414,1.9742,41.54155933,0.710616959,0.461901023
