Cage_ID*,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
DCH_H1,1,1.2674,3.787,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,2.8712,1.6038,36.34703921,0.57101883,0.37116224
DCH_H2,1,1.2671,4.7513,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.7309,2.4638,29.28649331,0.414156993,0.269202046
DCH_H3,1,1.2674,7.4281,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,4.981,3.7136,39.72113559,0.658956269,0.428321575
DCH_H4,1,1.2716,5.072,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.5714,2.2998,39.48531734,0.652491521,0.424119489
DCH_H5,1,1.2685,6.8668,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.7299,3.4614,38.17051605,0.617351361,0.401278385
DCH_H6,1,1.2732,4.3333,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.3073,2.0341,33.52831607,0.50439998,0.327859987
DCH_H7,1,1.2711,3.8793,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.0033,1.7322,33.58638141,0.505715275,0.328714929
DCH_H8,1,1.2683,4.6836,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,3.4187,2.1504,37.03627793,0.588216146,0.382340495
DCH_V1,1,1.2698,5.4222,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.9472,2.6774,35.52162605,0.550907597,0.358089938
DCH_V2,1,1.2771,3.5947,TOP 10/17/2023 16:50:00,10/19/24 9:15,2.8837,1.6066,30.67828788,0.442549483,0.287657164
DCH_V3,1,1.2774,4.3686,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.2343,1.9569,36.69448758,0.579641269,0.376766825
DCH_V4,1,1.2724,5.1866,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.6525,2.3801,39.19319401,0.64455275,0.418959287
DCH_V5,1,1.2714,3.8108,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,2.77,1.4986,40.9860597,0.694514881,0.451434672
DCH_V6,1,1.2744,4.4644,TOP 10/17/2023 16:50:00,10/19/24 9:15,3.3072,2.0328,36.27586207,0.569264069,0.370021645
