Model	Marginal_R2	Conditional_R2
SORU_model	0.130927416624423	0.725431787957157
POPRC_model	0.178551477667856	0.424948187959604
SORUN_model	0.147441694984111	0.366348535407122
SORUC_model	0.0981052732042465	0.272347857586255
POPRCC_model	0.17380111029839	0.17380111029839
POPRCN_model	0.117804163410321	0.117804163410321
SoilC_model	0.721819849328779	0.721819849328779
SoilN_model	0.419248562618146	0.59495473387749
SIR_model	0.309813738795482	0.670747620287837
PlantDiversity_model	0.316075605613926	0.754486839704301
LitterN_model	0.0419987978985369	0.398022813999899
Nmin_model	0.470787121838606	0.662676602682824
