Sample_ID,Site.x,Year,Population,Treatment,Transplant,SORU_Biomass,POPRC_Biomass,MISC_Biomass,CO2CperHourperg,Site.y,Overall_mineralization_rate,PlantDiversity,Site,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,average_SOM,Treatment_PopType
UPH_H1,UP,2021,UP,Herbivore,Home,2.5059581977878858,59.21176637945293,36.419098349031145,1.791007951047909,UP,-1.7598426406455392,1.3967200069686052,Northern Common Garden,0.2,1.1,2.5,2.9,1.8,2.6,44.1,44.5,42.8,46.9,5.7258050505,Reactor
UPH_H1,UP,2023,UP,Herbivore,Home,1.0771365149833647,68.72685713020667,76.61932296235298,2.572796367067312,UP,2.933147738086051,1.1456606777325842,Northern Common Garden,0.1,1,2.2,2.1,0,2.4,42.7,42.9,43.5,0,NA,Reactor
UPH_H2,UP,2021,UP,Herbivore,Home,12.789895738451518,75.29704820980135,10.058656811209927,2.098241647157665,UP,-6.987255074492539,0.7636046280347693,Northern Common Garden,0.2,1,3.6,2.1,2.1,2.7,43.8,46.2,37.7,47.7,6.353445275,Reactor
UPH_H2,UP,2023,UP,Herbivore,Home,38.418978912319645,67.7628540751154,29.08766402320045,2.11226866341521,UP,6.013297084542071,1.1959648963704321,Northern Common Garden,0.2,0.9,1.4,1.7,2.5,3.1,41.5,41,46,45,NA,Reactor
UPH_H3,UP,2021,UP,Herbivore,Home,16.217874918672727,65.1379228432655,20.197288171910397,1.8058702622522396,UP,-12.48959257519376,1.257743438736218,Northern Common Garden,0.2,0.8,2.4,1.7,2.3,2.5,42.2,43,45.7,44.9,5.3989685915,Reactor
UPH_H3,UP,2023,UP,Herbivore,Home,5.5581576026637185,79.33089073621058,49.7536026923972,1.946956986002613,UP,4.909310934216063,0.9147008811131843,Northern Common Garden,0.1,1,1.1,1.9,2.4,2.2,45,43.5,44.5,44.5,NA,Reactor
UPH_H4,UP,2021,UP,Herbivore,Home,20.788513825634343,22.80823381603284,65.8211292950625,1.5470608237809502,UP,-0.2805032626689113,1.4238832452119574,Northern Common Garden,0.1,0.9,1.8,2.1,0,2.3,42.2,39.6,44.9,0,5.385094963,Reactor
UPH_H4,UP,2023,UP,Herbivore,Home,38.418978912319645,31.130737981647318,105.55163709922843,2.066918727134234,UP,5.081509818058208,1.7805880261781846,Northern Common Garden,0.2,0.9,1.3,1.5,2.5,3.2,43.3,44.3,46.1,46.7,NA,Reactor
UPH_H5,UP,2021,UP,Herbivore,Home,25.359152732595955,59.21176637945293,19.18342503584035,1.2530162217594256,UP,-1.5264929777402958,1.2327092369668724,Northern Common Garden,0.2,0.6,3.1,2.1,2.5,3.1,45.3,44.8,43.4,48.6,6.1504817475,Reactor
UPH_H5,UP,2023,UP,Herbivore,Home,84.72286348501665,31.130737981647318,43.55382109163818,2.709936118469046,UP,1.7654441649266728,1.1052233685149715,Northern Common Garden,0.3,1.3,0.6,1.4,2.4,3.9,43.9,41.7,44.1,45.9,NA,Reactor
UPH_H6,UP,2021,UP,Herbivore,Home,31.072451366297972,53.28560991564036,20.197288171910397,1.6080682345680557,UP,-5.166247221729418,1.4379861189928356,Northern Common Garden,0.1,1.1,1.7,2.6,2.6,2.3,44.4,43.5,44.3,46.8,5.671645403,Reactor
UPH_H6,UP,2023,UP,Herbivore,Home,50.36836847946726,61.01483268947654,22.887882422441425,2.262580639158715,UP,2.7252107986014438,1.211983404951273,Northern Common Garden,0.2,1.2,2,2.2,2,2.4,42.9,42.2,42.2,45.3,NA,Reactor
UPH_H7,UP,2021,UP,Herbivore,Home,32.215111093038374,33.81395296311334,41.48841402938138,2.5417048679430225,UP,-11.633113560407265,1.4634381354734927,Northern Common Garden,0.2,0.5,1.9,3.3,2.2,3.1,46.9,44.2,45.9,46.4,6.3737523675,Reactor
UPH_H7,UP,2023,UP,Herbivore,Home,51.86204217536071,70.65486324038919,0.15534988632499713,2.2696275060678515,UP,3.8401475037180135,1.014543586519396,Northern Common Garden,0.2,1.1,1.4,1.7,2.4,2.8,42.8,42.4,44.4,45.9,NA,Reactor
UPH_H8,UP,2021,UP,Herbivore,Home,20.788513825634343,25.3480151576668,62.77953988685237,1.4944937567291707,UP,-4.176018834925054,1.4264690916021137,Northern Common Garden,0.2,1,1.1,1.5,2.4,2.6,43.1,39.6,43,48.8,5.840315047000001,Reactor
UPH_H8,UP,2023,UP,Herbivore,Home,35.43163152053275,39.8067654774687,91.0854800307907,2.2159350412278287,UP,3.4531119875955842,1.558750050618268,Northern Common Garden,0.2,1.1,1.5,1.1,2.7,2.4,40,41.3,44.7,47.6,NA,Reactor
UPH_V1,UP,2021,UP,Vegetation,Home,21.931173552374744,59.21176637945293,23.238877580120537,1.9998712740267588,UP,-5.724298558127488,1.3059967915567388,Northern Common Garden,0.2,1.3,1.3,2.8,2.1,2.4,44.6,43.1,46.6,48.2,6.534098933,Vegetation
UPH_V1,UP,2023,UP,Vegetation,Home,35.43163152053275,57.15882046911148,55.95338429315623,2.7730799494651315,UP,5.310091310693126,1.497784839857926,Northern Common Garden,0.2,1,1.9,1.6,2.3,2.7,45.7,43.1,44.9,45.9,NA,Vegetation
UPH_V2,UP,2021,UP,Vegetation,Home,9.361916558230307,77.8368295514353,10.058656811209927,2.0698134291812886,UP,-1.732721462721357,0.7234358193734295,Northern Common Garden,0.2,0.8,2.1,1.5,0,2.5,45,44.1,42.9,0,5.6595069805,Vegetation
UPH_V2,UP,2023,UP,Vegetation,Home,20.494894561598233,78.36688768111932,31.154257890120128,2.4933275618291857,UP,4.76994897792936,1.0828378760046082,Northern Common Garden,0.2,1.4,1.7,1.6,2.5,3,43.3,43.1,43.2,45,NA,Vegetation
UPH_V3,UP,2021,UP,Vegetation,Home,17.360534645413132,47.35945345182779,38.446824621171245,2.799064400561697,UP,-5.494393591874778,1.4985659306134467,Northern Common Garden,0.2,1.3,2.4,2.3,0,2.6,43.9,44.3,47.7,0,6.0111321325,Vegetation
UPH_V3,UP,2023,UP,Vegetation,Home,50.36836847946726,32.09474103673858,86.95229229695136,2.0457135433861127,UP,0.25099313505066545,1.4728932487428974,Northern Common Garden,0.1,1,1.7,1.5,2.8,2.3,43.4,43.5,45.5,46.5,NA,Vegetation
UPH_V4,UP,2021,UP,Vegetation,Home,7.0765971047495,46.51285967128313,50.613182254011804,2.341500183801439,UP,-5.736573920683738,1.6190597269417013,Northern Common Garden,0.1,0.9,1.5,2.6,1.8,1.9,42.3,44,47.1,47.5,6.003073907999999,Vegetation
UPH_V4,UP,2023,UP,Vegetation,Home,26.469589345172036,45.5907838080163,93.15207389771038,2.1942784016033556,UP,0.5434444045265304,1.64858823651855,Northern Common Garden,0.2,1.2,1,1.9,2.1,3,44.4,43.3,46.2,46.1,NA,Vegetation
UPH_V5,UP,2021,UP,Vegetation,Home,5.933937378009096,54.97879747672967,40.47455089331134,1.5664263359694448,UP,-1.818328773433261,1.0376879831104437,Northern Common Garden,0.2,0.8,2.1,3,0,3,44.4,45.7,47.7,0,6.337024985,Vegetation
UPH_V5,UP,2023,UP,Vegetation,Home,7.05183129855717,80.29489379130185,41.4872272247185,3.0617056800458586,UP,-2.902148933064197,1.0986122886681096,Northern Common Garden,0.2,1.2,2.4,2.9,2.6,2.8,43.6,44.4,47.5,46.1,NA,Vegetation
UPH_V6,UP,2021,UP,Vegetation,Home,29.92979163955757,23.654827596577494,56.69636107043209,2.546367421384225,UP,-1.0262490687299688,1.3719454407810507,Northern Common Garden,0.2,0.4,1.5,2.2,2.4,2.7,45.7,39.6,48.5,47.9,6.3151718195,Vegetation
UPH_V6,UP,2023,UP,Vegetation,Home,65.30510543840177,49.44679602838136,29.08766402320045,2.5745281658499275,UP,3.3987757748253427,1.3154889498303444,Northern Common Garden,0.2,1,1.3,1.4,2.4,2.7,46.1,43.3,43.6,47,NA,Vegetation
UPH_V7,UP,2021,UP,Vegetation,Home,13.932555465191921,51.592422354551054,36.419098349031145,1.4888934238752798,UP,-22.578860870868596,1.3856335268410775,Northern Common Garden,0.2,0.7,2.3,1.8,1.9,2.5,46.1,44,45,48.7,6.245887843,Vegetation
UPH_V7,UP,2023,UP,Vegetation,Home,33.93795782463929,41.73477158765124,89.01888616387103,3.1863577719558114,UP,-0.07170877640648832,1.5927847705548495,Northern Common Garden,0.2,1,2.7,1.2,2.2,3.5,43.9,42.8,44.1,45.6,NA,Vegetation
UPH_V8,UP,2021,UP,Vegetation,Home,20.788513825634343,57.51857881836362,24.252740716190583,2.157210741444895,UP,-1.6625004841205606,1.3335228934056282,Northern Common Garden,0.2,1,1.8,1.9,2.1,2.6,44.2,43.5,43.8,47,6.2249153995,Vegetation
UPH_V8,UP,2023,UP,Vegetation,Home,93.68490566037735,44.62678075292503,-1.9112439805946781,1.7821666556622695,UP,7.146789530498883,1.0682720241459989,Northern Common Garden,0.2,0.9,1.5,1.3,2.5,2.4,36.4,39.3,45.2,45.6,NA,Vegetation
UPS_H1,YF,2021,UP,Herbivore,South,12.925441162730333,76.95320336091251,25.141339715812407,1.563031460199213,YF,15.482231393052867,1.1891809482016498,Southern Common Garden,0.1,1.9,2.2,2.2,1.4,1.6,42,39.6,42.1,46.9,5.351242409499999,Reactor
UPS_H1,YF,2023,UP,Herbivore,South,-4.360902255639089,75.5139094235641,16.087922177287133,2.586247422327606,YF,7.26552391467804,0.6446981049870489,Southern Common Garden,0.2,0.7,1.6,2.3,0,2.3,45.2,42.1,43.1,0,NA,Reactor
UPS_H2,YF,2021,UP,Herbivore,South,33.34138289644433,8.669516187350098,76.27823238143036,1.6913405231044618,YF,25.357612994753797,1.297334655082625,Southern Common Garden,0.1,1.7,3.4,2.7,2.1,2.1,39.7,42.8,41,46.7,5.624734656499999,Reactor
UPS_H2,YF,2023,UP,Herbivore,South,23.394736842105267,62.17366557532481,19.36396691806026,2.7202350792437464,YF,25.049455670902592,1.1122011827550544,Southern Common Garden,0.2,1.5,2.2,3,2.6,2.8,45.8,44.8,43.7,47.8,NA,Reactor
