Sample_ID,Site,Population,Treatment_PopType,Year,CO2CperHourperg,Overall_mineralization_rate,SORU_Biomass,POPRC_Biomass,MISC_Biomass,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,PlantDiversity,average_SOM
DCH_H1,DC,DC,Resistor,2021,3.420680221100748,40.8197061204636,17.980778515389254,29.753285809085245,28.265702043021317,0.3,1.2,2.4,2.2,3,3.4,43.1,42.7,40.7,47.3,1.5703826925832645,8.5572045915
DCH_H1,DC,DC,Resistor,2023,3.2270045135290766,43.69017549807375,28.74224841341795,33.91812080536912,10.100382683568524,0.3,2.4,1.6,2.4,2.7,4.5,49,43.7,46,45.5,1.0431720665075475,NA
DCH_H2,DC,DC,Resistor,2021,2.6181821524887203,-0.8291850291025935,9.403795346342118,44.70120100947134,25.8359775562322,0.2,1.1,2.8,2.3,1.6,3,44,44.4,46,47.6,1.5569331634932868,7.006497732
DCH_H2,DC,DC,Resistor,2023,1.7357746385473245,21.412224688920006,11.081263221517073,43.15671140939597,7.454556326237742,0.2,1.5,1.9,2.5,2.4,2.4,45.1,43.4,45.2,46.7,0.8306192702372093,NA
DCH_H3,DC,DC,Resistor,2021,2.0308647629986467,19.5588419914387,14.86187554482666,58.4992765790585,11.2576306354975,0.2,1,2.1,1.9,2.7,3.3,45.2,44.2,42.2,46.6,1.2641001987000602,6.7370830999999995
DCH_H3,DC,DC,Resistor,2023,1.9933489764269536,12.492785472404414,36.31124206708975,35.677852348993284,6.572614207127481,0.2,1.2,1.9,2,2.6,2.6,47.1,45,46.7,46.8,0.8590168151004672,NA
DCH_H4,DC,DC,Resistor,2021,1.9871554646195833,9.594950247533106,25.778035941795743,35.5024839630799,15.307171446812696,0.2,1.5,1.9,2.2,3.5,2.9,43.2,44.5,45.6,47.7,1.459711399869449,6.257227145
DCH_H4,DC,DC,Resistor,2023,2.263083774970685,13.499338689824857,60.2797219703838,27.75906040268456,5.69067208801722,0.2,2.6,1.8,5.6,2.4,3.1,43.2,42.8,42.6,45.1,0.7895296755863316,NA
DCH_H5,DC,DC,Resistor,2021,3.412167535019985,11.91159055387193,21.09968148595185,10.206012085503431,37.984599990177784,0.2,1.1,2,2,3.1,3.4,44.4,39.6,47.8,47.9,1.9666519473736936,7.749887031
DCH_H5,DC,DC,Resistor,2023,2.019211809116072,17.107309129557446,11.081263221517073,42.27684563758389,8.336498445348003,0.2,1.6,2.9,2.5,1.4,3.1,47,48.3,44.5,43,0.8092523346361203,NA
